timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2024-05-06T0000,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,29,27,39,20,13,22,,42,36,13,8,3,4,0,0
2024-05-06T0000,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,43,,28,30,16,76,,124,114,18,8,3,3,0.2,0.2
2024-05-06T0000,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,31,28,32,10,16,98,,127,120,7,7,5,5,0.2,0.2
2024-05-06T0000,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),138,225,138,73,43,,,112,,88,25,4,4,1.1,0.4
2024-05-06T0000,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),118,185,139,70,54,0,,107,75,101,44,5,5,1.2,0.5
2024-05-06T0000,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,颗粒物(PM10),67,83,58,21,20,131,,145,130,6,9,8,18,0.6,0.6
2024-05-06T0000,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,颗粒物(PM10),74,98,59,21,16,127,,137,127,6,8,9,9,0.2,0.3
2024-05-06T0000,2206A,105.724,38.8516,阿拉善盟,环保局新楼,颗粒物(PM10),64,78,54,21,17,133,,138,132,4,6,9,9,0.3,0.4
2024-05-06T0000,2708A,88.1264,47.8517,阿勒泰地区,市站,,47,47,31,6,8,97,,100,92,2,8,4,5,0.2,0.2
2024-05-06T0000,2630A,80.1161,32.5,阿里地区,阿里监测站,,40,16,22,6,5,127,,133,133,15,12,5,6,0.5,0.4
2024-05-06T0000,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,47,11,9,4,4,148,,146,146,4,4,9,11,0.4,0.5
2024-05-06T0000,2642A,109.0318,32.6537,安康市,香溪洞,,33,31,23,23,11,49,,93,85,11,6,7,7,0.6,0.5
2024-05-06T0000,2643A,109.0281,32.6939,安康市,安康市监测站,,33,33,31,16,16,31,,92,62,12,10,8,9,0.5,0.5
2024-05-06T0000,2644A,109.0072,32.6975,安康市,汉滨区检察院,,39,39,29,15,20,32,,96,70,9,8,8,10,0.6,0.6
2024-05-06T0000,2291A,117.0809,30.5177,安庆市,环科院,,33,27,19,23,18,52,,54,52,34,24,8,7,0.8,0.9
2024-05-06T0000,2292A,117.0331,30.5119,安庆市,马山宾馆,,32,25,20,22,19,41,,51,47,36,28,6,6,0.8,0.8
2024-05-06T0000,2294A,116.9896,30.6145,安庆市,安庆大学,,45,45,23,30,19,20,,56,53,40,22,7,7,0.6,0.6
2024-05-06T0000,3173A,117.0598,30.5351,安庆市,市人大,,33,27,20,23,18,50,,54,54,25,19,6,5,0.8,0.8
2024-05-06T0000,3122A,105.9606,26.2611,安顺市,伍家关,,,,,,,,,,,,,,,,
2024-05-06T0000,3123A,105.9408,26.2431,安顺市,凤凰山,,30,24,36,17,31,93,,125,105,9,15,8,13,0.4,0.5
2024-05-06T0000,3124A,105.9439,26.2564,安顺市,金钟山,,29,28,36,17,29,91,,123,106,8,11,6,11,0.2,0.4
2024-05-06T0000,3125A,105.8983,26.2481,安顺市,娄家坡,,,,48,,29,,,122,112,,9,,13,,0.5
2024-05-06T0000,1818A,114.4839,36.0621,安阳市,棉研所,,,,,,,,,,,,,,,,
2024-05-06T0000,1819A,114.3551,36.1017,安阳市,红庙街,细颗粒物(PM2.5),54,53,55,38,43,78,,156,123,22,14,7,9,0.4,0.6
2024-05-06T0000,1820A,114.361,36.0681,安阳市,银杏小区,细颗粒物(PM2.5),57,56,50,40,46,67,,153,115,21,9,7,9,0.6,0.8
2024-05-06T0000,3141A,114.3922,36.0878,安阳市,信访局,细颗粒物(PM2.5),64,61,54,46,48,66,,150,112,26,14,4,4,0.5,0.7
2024-05-06T0000,3669A,114.4705,36.0637,安阳市,左辅环卫站,细颗粒物(PM2.5),68,76,62,49,42,62,,140,98,24,12,8,8,0.6,0.7
2024-05-06T0000,3703A,114.2917,36.0949,安阳市,安钢职工学校,颗粒物(PM10),64,78,66,36,48,85,,153,117,26,22,5,9,0.5,0.7
2024-05-06T0000,1748A,123.044,41.1196,鞍山市,深沟寺,,43,41,40,30,25,54,,122,53,18,15,7,7,0.8,0.6
2024-05-06T0000,1749A,123.011,41.0931,鞍山市,太阳城,细颗粒物(PM2.5),58,54,42,41,25,59,,111,70,28,14,9,7,1.1,0.7
2024-05-06T0000,1750A,123.0485,41.1442,鞍山市,太平,,44,44,48,30,26,70,,127,70,27,23,6,5,0.8,0.6
