timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2024-05-06T2300,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,18,18,33,11,12,14,,33,26,8,10,3,3,0,0
2024-05-06T2300,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,28,23,18,19,18,46,,111,88,18,12,3,3,0.3,0.3
2024-05-06T2300,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,26,26,27,18,16,57,,102,,11,10,6,6,0.3,0.2
2024-05-06T2300,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),87,124,162,43,50,60,,58,58,13,34,4,5,0.3,0.5
2024-05-06T2300,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),86,122,152,46,54,73,,80,79,23,47,5,5,0.3,0.5
2024-05-06T2300,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,47,47,72,22,21,126,,138,137,11,7,11,8,0.8,0.7
2024-05-06T2300,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,颗粒物(PM10),56,62,73,19,19,115,,130,128,13,8,13,9,0.4,0.2
2024-05-06T2300,2206A,105.724,38.8516,阿拉善盟,环保局新楼,颗粒物(PM10),57,63,64,21,19,124,,133,133,11,6,14,9,0.5,0.3
2024-05-06T2300,2708A,88.1264,47.8517,阿勒泰地区,市站,,31,31,41,8,10,89,,102,88,5,10,5,5,0.4,0.3
2024-05-06T2300,2630A,80.1161,32.5,阿里地区,阿里监测站,,42,12,27,6,8,134,,142,141,11,14,4,5,0.5,0.4
2024-05-06T2300,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,47,12,10,4,5,148,,154,154,3,6,10,10,0.4,0.4
2024-05-06T2300,2642A,109.0318,32.6537,安康市,香溪洞,,49,49,38,29,20,80,,119,113,7,6,7,8,0.5,0.5
2024-05-06T2300,2643A,109.0281,32.6939,安康市,安康市监测站,颗粒物(PM10),53,56,43,26,23,49,,115,93,16,10,11,10,0.6,0.6
2024-05-06T2300,2644A,109.0072,32.6975,安康市,汉滨区检察院,颗粒物(PM10),52,54,44,25,26,45,,112,98,11,9,7,10,0.5,0.6
2024-05-06T2300,2291A,117.0809,30.5177,安庆市,环科院,,35,30,26,24,17,16,,97,62,63,28,8,8,0.8,0.8
2024-05-06T2300,2292A,117.0331,30.5119,安庆市,马山宾馆,,28,24,24,19,16,41,,98,60,46,34,7,6,0.7,0.8
2024-05-06T2300,2294A,116.9896,30.6145,安庆市,安庆大学,,35,35,29,13,15,15,,106,78,34,20,7,8,0.5,0.5
