timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-05-25T1100,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,21,14,20,8,8,67,,42,42,4,6,11,11,0.7,0.7
2025-05-25T1100,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,21,11,21,10,16,65,,28,28,7,8,5,5,0.5,0.5
2025-05-25T1100,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,21,11,21,10,19,67,,31,31,4,5,5,5,0.5,0.5
2025-05-25T1100,2695A,80.292,41.1694,阿克苏地区,电视台,,37,37,141,23,41,61,,78,67,20,14,8,7,0.5,0.4
2025-05-25T1100,2696A,80.2613,41.1551,阿克苏地区,艺术中心,,48,48,156,18,41,61,,80,70,13,9,3,4,0.6,0.6
2025-05-25T1100,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,45,,25,26,26,141,,132,131,9,10,7,6,1.0,0.9
2025-05-25T1100,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,,40,29,28,20,17,126,,115,115,8,8,10,9,0.5,0.5
2025-05-25T1100,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,41,34,24,24,16,129,,121,120,6,4,10,9,0.8,0.7
2025-05-25T1100,2708A,88.1264,47.8517,阿勒泰地区,市站,,27,27,38,3,4,86,,55,55,6,7,2,2,0.3,0.3
2025-05-25T1100,2630A,80.1161,32.5,阿里地区,阿里监测站,,29,26,22,12,10,92,,84,84,13,9,6,6,0.4,0.4
2025-05-25T1100,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,34,23,28,9,9,108,,105,105,3,2,6,5,0.4,0.3
2025-05-25T1100,2642A,109.0318,32.6537,安康市,香溪洞,细颗粒物(PM2.5),72,53,45,52,28,142,,127,127,8,7,9,10,0.7,0.5
2025-05-25T1100,2644A,109.0072,32.6975,安康市,汉滨区检察院,细颗粒物(PM2.5),57,55,50,40,24,148,,124,124,7,12,25,11,0.6,0.5
2025-05-25T1100,4054A,109.0325,32.6913,安康市,市邮政管理局,颗粒物(PM10),54,58,56,37,29,146,,123,123,8,14,20,16,0.6,0.5
2025-05-25T1100,2291A,117.0809,30.5177,安庆市,环科院,细颗粒物(PM2.5),69,70,52,50,38,151,,106,106,9,10,4,3,0.7,0.6
2025-05-25T1100,2292A,117.0331,30.5119,安庆市,马山宾馆,细颗粒物(PM2.5),77,65,47,56,43,156,,112,112,11,11,6,4,0.6,0.6
2025-05-25T1100,2294A,116.9896,30.6145,安庆市,安庆大学,细颗粒物(PM2.5),67,55,51,48,41,145,,98,98,8,12,3,3,0.4,0.4
2025-05-25T1100,3173A,117.0598,30.5351,安庆市,市人大,细颗粒物(PM2.5),75,73,55,55,41,161,,116,116,10,12,9,8,0.6,0.5
2025-05-25T1100,3122A,105.9606,26.2611,安顺市,伍家关,,35,35,75,23,37,91,,86,86,7,10,3,3,0.4,0.4
2025-05-25T1100,3123A,105.9408,26.2431,安顺市,凤凰山,,36,36,73,25,50,103,,98,98,6,9,6,9,0.5,0.6
2025-05-25T1100,3124A,105.9439,26.2564,安顺市,金钟山,,43,43,72,28,48,94,,90,90,5,8,5,7,0.4,0.4
2025-05-25T1100,3125A,105.8983,26.2481,安顺市,娄家坡,,42,39,70,29,56,97,,94,94,6,8,8,9,0.5,0.5
2025-05-25T1100,1818A,114.4839,36.0621,安阳市,棉研所,,,,,,,,,,,,,,,,
2025-05-25T1100,1819A,114.3551,36.1017,安阳市,红庙街,颗粒物(PM10),63,75,42,44,20,91,,61,61,26,11,6,4,0.6,0.6
2025-05-25T1100,1820A,114.361,36.0681,安阳市,银杏小区,颗粒物(PM10),57,63,42,35,18,79,,59,59,30,15,6,6,0.4,0.4
2025-05-25T1100,3141A,114.3922,36.0878,安阳市,信访局,颗粒物(PM10),63,76,40,28,23,90,,84,78,27,11,6,6,0.6,0.5
2025-05-25T1100,3669A,114.4705,36.0637,安阳市,左辅环卫站,颗粒物(PM10),65,79,50,43,22,92,,50,50,28,26,5,2,0.7,0.6
2025-05-25T1100,3703A,114.2917,36.0949,安阳市,安钢职工学校,颗粒物(PM10),62,73,48,30,19,100,,64,64,17,13,9,4,0.5,0.4
2025-05-25T1100,1748A,123.044,41.1196,鞍山市,深沟寺,,32,28,43,13,26,102,,56,56,13,25,12,11,0.6,1
2025-05-25T1100,1749A,123.011,41.0931,鞍山市,太阳城,,32,16,46,10,28,101,,58,58,11,24,12,11,0.5,0.7
2025-05-25T1100,1750A,123.0485,41.1442,鞍山市,太平,,31,27,62,12,30,99,,53,53,13,31,13,17,0.6,1.2
2025-05-25T1100,1751A,122.9642,41.0971,鞍山市,铁西三道街,,37,37,54,17,29,102,,54,54,16,37,7,8,0.5,0.7
2025-05-25T1100,1753A,123.022,41.0821,鞍山市,明达新区,,30,25,49,13,28,93,,56,56,13,22,11,9,0.4,0.7
2025-05-25T1100,1754A,123.1289,41.0228,鞍山市,千山,,,,29,,18,,,88,,,16,,6,,0.6
2025-05-25T1100,4201A,122.9446,41.0826,鞍山市,兴盛南路290号,,32,28,57,14,28,102,,56,56,16,36,9,9,0.5,0.7
2025-05-25T1100,2195A,107.4212,40.761,巴彦淖尔市,附二中,,40,33,51,23,37,126,,78,78,10,14,9,7,0.5,0.5
2025-05-25T1100,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,49,49,52,29,43,122,,99,89,17,17,7,7,0.3,0.4
2025-05-25T1100,1956A,86.1472,41.7538,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),66,82,106,19,31,101,,94,94,5,14,9,8,0.2,0.2
2025-05-25T1100,1957A,86.1972,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),73,95,131,44,27,96,,83,83,9,19,4,5,0.2,0.3
2025-05-25T1100,1958A,86.2357,41.7173,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),72,93,98,11,23,98,,86,86,4,7,8,9,0.1,0.2
2025-05-25T1100,2914A,106.7677,31.8794,巴中市,苏山坪,,46,46,60,26,34,126,,105,105,6,9,4,5,0.2,0.3
2025-05-25T1100,3181A,106.7768,31.8526,巴中市,市五中,颗粒物(PM10),51,52,69,20,32,129,,74,74,6,13,7,7,0.5,0.5
2025-05-25T1100,3183A,106.7418,31.8654,巴中市,圣泉水务公司,,49,49,62,25,31,131,,80,80,7,14,5,5,0.4,0.4
2025-05-25T1100,3616A,106.7616,31.8344,巴中市,市中心医院,细颗粒物(PM2.5),52,46,63,36,38,123,,73,73,4,13,6,6,0.5,0.6
2025-05-25T1100,2235A,122.7911,45.6077,白城市,洮北区环保局,,31,25,29,9,16,97,,60,60,9,25,4,3,0.3,0.3
2025-05-25T1100,2236A,122.8738,45.5725,白城市,市环保局,,31,17,23,8,15,97,,67,67,3,19,8,8,0.3,0.4
2025-05-25T1100,2231A,126.4219,41.9171,白山市,喜丰,,36,36,33,14,16,92,,63,63,13,12,6,6,0.5,0.6
2025-05-25T1100,2232A,126.4077,41.9419,白山市,环保局,,,,30,,13,,,91,,,11,,9,,0.6
