timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-11-24T2000,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,,,,,,,,,,,,,,,
2025-11-24T2000,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,颗粒物(PM10),60,70,28,37,16,46,46,74,72,24,10,6,6,0.5,0.4
2025-11-24T2000,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,39,39,19,23,11,64,64,80,80,12,8,5,5,0.4,0.3
2025-11-24T2000,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),132,213,233,53,84,52,52,72,72,61,46,9,10,1.1,1.3
2025-11-24T2000,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),119,188,195,68,77,79,79,79,79,66,50,7,8,0.9,1.1
2025-11-24T2000,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,,,,,,,,,,,,,,,
2025-11-24T2000,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,颗粒物(PM10),59,68,264,23,49,72,72,73,72,11,6,8,6,0.9,0.8
2025-11-24T2000,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,46,46,233,16,50,76,76,72,72,7,4,9,8,0.7,0.7
2025-11-24T2000,2708A,88.1264,47.8517,阿勒泰地区,市站,,34,14,15,3,7,20,20,56,55,68,41,5,5,0.5,0.5
2025-11-24T2000,2630A,80.1161,32.5,阿里地区,阿里监测站,,,6,3,3,3,74,74,75,75,,12,,9,0.3,0.3
2025-11-24T2000,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,24,11,13,3,7,76,76,78,78,2,6,13,11,0.6,0.6
2025-11-24T2000,2642A,109.0318,32.6537,安康市,香溪洞,,,,,,,,,,,,,,,,
2025-11-24T2000,2644A,109.0072,32.6975,安康市,汉滨区检察院,,40,40,30,15,16,40,40,60,60,21,15,5,5,0.4,0.4
2025-11-24T2000,4054A,109.0325,32.6913,安康市,市邮政管理局,颗粒物(PM10),59,67,38,32,19,28,28,62,61,36,21,6,4,0.8,0.7
2025-11-24T2000,2291A,117.0809,30.5177,安庆市,环科院,颗粒物(PM10),77,103,94,24,74,84,84,94,90,8,41,6,10,0.4,0.8
2025-11-24T2000,2292A,117.0331,30.5119,安庆市,马山宾馆,颗粒物(PM10),78,105,98,30,74,79,79,96,91,19,49,6,8,0.5,0.9
2025-11-24T2000,2294A,116.9896,30.6145,安庆市,安庆大学,颗粒物(PM10),77,103,108,20,76,86,86,104,104,18,40,8,10,0.3,0.7
2025-11-24T2000,3173A,117.0598,30.5351,安庆市,市人大,颗粒物(PM10),81,112,98,24,73,82,82,107,103,15,39,6,9,0.3,0.6
2025-11-24T2000,3122A,105.9606,26.2611,安顺市,伍家关,,40,35,63,28,38,95,95,116,115,10,12,13,21,0.8,0.9
2025-11-24T2000,3123A,105.9408,26.2431,安顺市,凤凰山,,39,39,52,27,39,85,85,101,101,12,15,12,16,0.4,0.5
2025-11-24T2000,3124A,105.9439,26.2564,安顺市,金钟山,,42,41,54,29,42,88,88,108,108,11,12,14,19,0.5,0.6
2025-11-24T2000,3125A,105.8983,26.2481,安顺市,娄家坡,,39,39,55,27,43,80,80,98,98,12,14,17,16,0.5,0.5
2025-11-24T2000,1818A,114.4839,36.0621,安阳市,棉研所,,,,,,,,,,,,,,,,
2025-11-24T2000,1819A,114.3551,36.1017,安阳市,红庙街,颗粒物(PM10),61,72,152,14,33,49,49,65,61,18,24,15,9,1.2,0.7
