timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-05-19T1700,1001A,116.3611,39.8786,北京市,万寿西宫,臭氧1小时(O3_1h),58,23,29,12,16,166,NA,136,136,12,15,4,4,0.5,0.5
2026-05-19T1700,1003A,116.4174,39.9289,北京市,东四,臭氧1小时(O3_1h),85,21,19,11,18,188,NA,143,143,11,15,4,4,0.6,0.7
2026-05-19T1700,1004A,116.4073,39.8858,北京市,天坛,臭氧1小时(O3_1h),53,25,28,11,14,162,NA,128,128,11,14,1,2,0.6,0.4
2026-05-19T1700,1005A,116.4622,39.9364,北京市,农展馆,臭氧1小时(O3_1h),78,24,29,11,17,182,NA,130,130,16,19,4,3,0.6,0.6
2026-05-19T1700,1006A,116.3399,39.9293,北京市,官园,臭氧1小时(O3_1h),58,23,28,11,16,166,NA,136,136,14,17,5,5,0.4,0.5
2026-05-19T1700,1007A,116.2879,39.9613,北京市,海淀万柳,,43,24,29,11,15,136,NA,116,116,17,21,4,4,0.5,0.5
2026-05-19T1700,1008A,116.6635,40.1349,北京市,顺义新城,,50,20,35,11,18,159,NA,124,124,12,16,3,2,0.5,0.6
2026-05-19T1700,1009A,116.6275,40.327,北京市,怀柔镇,臭氧1小时(O3_1h),60,36,29,19,15,168,NA,124,124,15,9,2,2,0.4,0.4
2026-05-19T1700,1010A,116.2295,40.217,北京市,昌平镇,臭氧1小时(O3_1h),84,29,30,15,17,187,NA,137,137,15,16,3,3,0.6,0.5
2026-05-19T1700,1011A,116.3968,39.982,北京市,奥体中心,,50,27,31,12,16,158,NA,127,127,11,16,5,4,0.5,0.5
2026-05-19T1700,1015A,117.1446,39.1659,天津市,勤俭道,NA,NA,14,21,8,15,148,NA,128,128,NA,17,7,7,0.8,0.8
2026-05-19T1700,1018A,117.2016,39.0928,天津市,前进道,,42,41,22,21,12,134,NA,124,124,16,16,6,6,0.8,0.7
2026-05-19T1700,1019A,117.1837,39.2134,天津市,淮河道,,50,26,30,15,16,160,NA,127,127,9,17,9,8,0.7,0.7
2026-05-19T1700,1021A,117.308261,39.088386,天津市,跃进路,,37,37,23,19,13,117,NA,122,122,20,21,7,6,1.0,0.7
2026-05-19T1700,1023A,117.707,39.0344,天津市,第四大街,,30,22,17,12,11,94,NA,100,100,23,19,5,5,0.6,0.5
2026-05-19T1700,1024A,117.4573,38.8395,天津市,永明路,NA,NA,NA,18,NA,11,117,NA,109,109,6,15,7,6,0.6,0.4
2026-05-19T1700,1026A,117.7641,39.1588,天津市,汉北路,,35,32,17,11,10,112,NA,106,106,3,13,7,7,0.6,0.4
2026-05-19T1700,1030A,114.5919,38.0328,石家庄市,高新区,,40,40,33,28,20,120,NA,98,98,9,17,6,11,0.5,0.4
2026-05-19T1700,1032A,114.4556,38.0136,石家庄市,西南高教,,45,32,38,15,17,141,NA,116,116,4,14,3,3,0.4,0.3
2026-05-19T1700,1033A,114.533,38.0177,石家庄市,世纪公园,,50,50,35,16,15,114,NA,94,94,6,12,3,3,0.5,0.4
2026-05-19T1700,1034A,114.5105,38.0489,石家庄市,人民会堂,,39,31,38,25,17,123,NA,102,102,6,11,3,3,0.4,0.3
2026-05-19T1700,1040A,118.1707,39.6505,唐山市,十二中,,48,48,34,32,22,83,NA,118,113,27,15,7,10,0.8,0.7
2026-05-19T1700,1041A,118.1868,39.6219,唐山市,小山,,45,39,31,31,18,95,NA,116,116,6,13,3,3,0.7,0.6
2026-05-19T1700,1046A,119.5247,39.9346,秦皇岛市,建设大厦,NA,NA,NA,24,NA,7,NA,NA,94,94,NA,8,NA,4,NA,0.3
2026-05-19T1700,1049A,114.492,36.5712,邯郸市,矿院,,40,25,25,16,16,126,NA,118,118,4,6,3,2,0.3,0.3
2026-05-19T1700,1050A,114.4839,36.6136,邯郸市,丛台公园,,39,39,25,12,11,119,NA,102,102,2,10,2,3,0.3,0.3
2026-05-19T1700,1051A,115.4803,38.8568,保定市,游泳馆,,45,31,25,22,15,141,NA,112,112,9,13,4,3,0.2,0.2
2026-05-19T1700,1052A,115.509,38.8895,保定市,华电二区,,41,38,30,17,13,129,NA,102,102,5,8,3,3,0.5,0.5
2026-05-19T1700,1053A,115.4588,38.9037,保定市,接待中心,,40,34,34,18,15,127,NA,104,104,5,8,3,3,0.2,0.2
2026-05-19T1700,1054A,115.4484,38.8344,保定市,地表水厂,,47,40,35,18,14,148,NA,118,118,6,9,1,2,0.3,0.4
2026-05-19T1700,1057A,114.8884,40.8336,张家口市,人民公园,颗粒物(PM10),51,51,31,16,16,154,NA,144,144,12,11,1,2,0.3,0.2
2026-05-19T1700,1059A,114.868581,40.804273,张家口市,五金库,,46,36,34,9,12,146,NA,142,142,15,14,/,/,/,/
2026-05-19T1700,1060A,114.8901,40.762,张家口市,世纪豪园,,45,40,31,13,16,143,NA,137,137,13,13,8,8,0.3,0.2
2026-05-19T1700,1062A,117.9531,40.908,承德市,铁路,,36,21,23,5,8,114,NA,92,92,9,11,2,2,0.2,0.2
2026-05-19T1700,1063A,117.9397,40.9763,承德市,中国银行,,37,17,22,3,9,116,NA,92,92,7,7,2,2,0.2,0.2
2026-05-19T1700,1067A,116.6712,39.5109,廊坊市,药材公司,NA,NA,NA,32,NA,20,159,NA,125,125,6,11,NA,3,0.5,0.6
