timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-04-24T1400,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,40,35,42,12,20,125,125,85,85,4,4,6,6,0.1,0.2
2026-04-24T1400,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,39,26,43,15,20,122,122,83,83,4,5,4,4,0.1,0.2
2026-04-24T1400,2695A,80.2899,41.1684,阿克苏地区,电视台,细颗粒物(PM2.5),118,127,189,79,85,75,75,82,71,11,21,4,4,0.5,0.8
2026-04-24T1400,2696A,80.2592,41.1541,阿克苏地区,艺术中心,NA,NA,90,163,54,92,72,72,80,62,22,27,NA,4,0.5,0.7
2026-04-24T1400,2205A,105.699,38.8409,阿拉善盟,蒙二幼,颗粒物(PM10),55,56,105,26,34,117,117,108,108,2,4,8,8,0.4,0.4
2026-04-24T1400,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,颗粒物(PM10),51,51,102,14,33,112,112,105,105,3,4,8,8,0.5,0.5
2026-04-24T1400,2708A,88.1266,47.8515,阿勒泰地区,市站,NA,NA,NA,28,NA,5,NA,NA,103,95,8,9,NA,5,NA,0.1
2026-04-24T1400,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,29,24,31,3,5,92,92,101,93,7,7,6,6,0.2,0.2
2026-04-24T1400,2630A,80.1171,32.4999,阿里地区,阿里监测站,,31,8,14,3,4,99,99,82,80,1,5,6,7,0.3,0.4
2026-04-24T1400,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,34,7,14,3,6,108,108,93,88,1,3,6,7,0.4,0.4
2026-04-24T1400,2644A,109.0088,32.6974,安康市,汉滨区检察院,,34,24,21,11,9,106,106,56,56,8,12,6,7,0.3,0.4
2026-04-24T1400,4054A,109.0324,32.6913,安康市,市邮政管理局,,35,27,27,12,12,112,112,61,61,7,12,5,14,0.5,0.5
2026-04-24T1400,2291A,117.0806,30.5181,安庆市,环科院,,40,18,14,9,10,127,127,91,91,7,10,6,6,0.4,0.4
2026-04-24T1400,2292A,117.0331,30.5118,安庆市,马山宾馆,,37,18,15,9,11,118,118,83,83,11,11,4,4,0.4,0.3
2026-04-24T1400,2294A,116.9897,30.6146,安庆市,安庆大学,,33,15,11,12,8,103,103,78,78,9,6,3,3,0.4,0.3
2026-04-24T1400,3173A,117.0598,30.5351,安庆市,市人大,,38,17,13,8,10,121,121,88,88,6,8,3,3,0.4,0.4
2026-04-24T1400,3123A,105.9408,26.2431,安顺市,凤凰山,,50,46,34,35,23,67,67,73,65,9,7,11,13,0.6,0.5
2026-04-24T1400,3124A,105.9443,26.2567,安顺市,金钟山,,44,44,30,30,23,62,62,67,61,7,6,8,12,0.6,0.5
2026-04-24T1400,3125A,105.8983,26.248,安顺市,娄家坡,,39,37,31,27,22,61,61,68,61,8,6,6,11,0.7,0.7
2026-04-24T1400,1819A,114.3552,36.1017,安阳市,红庙街,颗粒物(PM10),65,70,46,34,27,126,126,79,79,10,13,8,5,0.3,0.3
2026-04-24T1400,1820A,114.361,36.0681,安阳市,银杏小区,颗粒物(PM10),77,87,55,33,29,132,132,83,83,12,13,8,6,0.3,0.3
2026-04-24T1400,3141A,114.3921,36.0879,安阳市,信访局,颗粒物(PM10),70,78,46,30,29,132,132,84,84,6,10,6,3,0.4,0.4
2026-04-24T1400,3669A,114.4706,36.0634,安阳市,左辅环卫站,颗粒物(PM10),64,69,49,23,24,115,115,77,77,8,11,2,2,0.3,0.2
2026-04-24T1400,4117A,114.2918,36.0769,安阳市,钢三路198号,颗粒物(PM10),57,59,33,32,29,122,122,78,78,10,11,5,3,0.4,0.4
2026-04-24T1400,1748A,123.0441,41.1201,鞍山市,深沟寺,,48,48,69,15,31,135,135,130,127,14,18,13,13,0.6,0.7
2026-04-24T1400,1749A,123.011,41.0931,鞍山市,太阳城,,43,43,71,14,34,131,131,126,122,11,16,10,11,0.6,0.7
2026-04-24T1400,1750A,123.0483,41.1445,鞍山市,太平,,48,48,76,15,35,131,131,127,123,12,17,11,12,0.7,0.8
2026-04-24T1400,1751A,122.964,41.0968,鞍山市,铁西三道街,颗粒物(PM10),57,59,79,14,32,133,133,122,122,21,29,9,10,0.3,0.5
2026-04-24T1400,1753A,123.0219,41.0822,鞍山市,明达新区,,47,47,70,15,32,130,130,131,124,13,17,10,11,0.6,0.8
2026-04-24T1400,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,颗粒物(PM10),57,59,85,18,38,137,137,123,123,13,24,12,11,0.3,0.6
2026-04-24T1400,2195A,107.4206,40.7609,巴彦淖尔市,附二中,颗粒物(PM10),53,53,90,19,35,110,110,90,90,2,7,9,9,0.2,0.3
2026-04-24T1400,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,颗粒物(PM10),59,62,90,30,34,113,113,93,93,3,8,6,7,0.3,0.3
2026-04-24T1400,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,NA,NA,NA,189,NA,74,110,110,80,80,NA,30,5,12,0.3,0.4
2026-04-24T1400,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),102,124,224,30,77,115,115,82,82,2,21,/,/,/,/
2026-04-24T1400,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),70,77,173,21,64,104,104,82,82,3,9,9,9,0.4,0.4
2026-04-24T1400,3181A,106.776805,31.852614,巴中市,市五中,,39,21,23,10,13,122,122,60,60,6,16,10,9,0.5,0.6
