timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-06-22T0200,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,15,,22,8,7,46,,,,6,9,12,12,0.4,0.6
2025-06-22T0200,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,21,21,17,13,16,52,,,,4,8,6,6,0.5,0.5
2025-06-22T0200,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,26,25,17,18,16,46,,,,8,7,6,6,0.5,0.6
2025-06-22T0200,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),106,162,119,54,40,74,,,,27,10,7,5,0.8,0.6
2025-06-22T0200,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),98,146,147,49,46,62,,,,28,12,4,3,0.4,0.3
2025-06-22T0200,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,颗粒物(PM10),138,226,39,81,30,116,,,,7,10,6,6,0.8,0.8
2025-06-22T0200,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,颗粒物(PM10),312,429,60,82,18,107,,,,7,10,9,10,0.5,0.6
2025-06-22T0200,2206A,105.724,38.8516,阿拉善盟,环保局新楼,颗粒物(PM10),166,281,41,78,16,105,,,,4,5,8,9,0.5,0.5
2025-06-22T0200,2708A,88.1264,47.8517,阿勒泰地区,市站,,20,18,26,3,6,61,,,,5,9,1,1,0.3,0.3
2025-06-22T0200,2630A,80.1161,32.5,阿里地区,阿里监测站,,23,17,7,8,6,72,,,,31,10,8,8,0.4,0.3
2025-06-22T0200,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,30,16,15,14,7,96,,,,6,6,7,7,0.5,0.4
2025-06-22T0200,2642A,109.0318,32.6537,安康市,香溪洞,,28,9,15,7,7,88,,,,3,3,5,5,0.6,0.7
2025-06-22T0200,2644A,109.0072,32.6975,安康市,汉滨区检察院,,21,21,24,10,12,39,,,,8,7,5,7,0.4,0.5
2025-06-22T0200,4054A,109.0325,32.6913,安康市,市邮政管理局,,23,23,24,9,14,32,,,,15,9,11,10,0.4,0.5
2025-06-22T0200,2291A,117.0809,30.5177,安庆市,环科院,,28,6,7,3,6,89,,,,2,11,2,3,0.5,0.4
2025-06-22T0200,2292A,117.0331,30.5119,安庆市,马山宾馆,,27,6,12,3,7,86,,,,3,9,3,4,0.5,0.4
2025-06-22T0200,2294A,116.9896,30.6145,安庆市,安庆大学,,30,6,9,3,5,94,,,,4,8,2,3,0.6,0.4
2025-06-22T0200,3173A,117.0598,30.5351,安庆市,市人大,,29,6,9,3,7,92,,,,2,7,3,3,0.4,0.4
2025-06-22T0200,3122A,105.9606,26.2611,安顺市,伍家关,,20,10,22,8,11,64,,,,7,7,3,4,0.4,0.5
2025-06-22T0200,3123A,105.9408,26.2431,安顺市,凤凰山,,27,22,30,12,21,85,,,,5,7,4,4,0.5,0.5
2025-06-22T0200,3124A,105.9439,26.2564,安顺市,金钟山,,25,20,28,13,22,80,,,,5,6,4,5,0.4,0.4
2025-06-22T0200,3125A,105.8983,26.2481,安顺市,娄家坡,,25,14,23,9,17,80,,,,4,7,4,4,0.4,0.5
2025-06-22T0200,1818A,114.4839,36.0621,安阳市,棉研所,,,,,,,,,,,,,,,,
2025-06-22T0200,1819A,114.3551,36.1017,安阳市,红庙街,,44,44,52,23,22,132,,,,2,6,7,6,0.5,0.7
2025-06-22T0200,1820A,114.361,36.0681,安阳市,银杏小区,颗粒物(PM10),54,57,47,34,24,140,,,,5,7,9,5,0.5,0.6
2025-06-22T0200,3141A,114.3922,36.0878,安阳市,信访局,颗粒物(PM10),51,52,44,23,17,158,,,,2,10,2,5,0.6,0.7
2025-06-22T0200,3669A,114.4705,36.0637,安阳市,左辅环卫站,细颗粒物(PM2.5),64,65,41,46,22,121,,,,15,11,5,4,0.5,0.4
2025-06-22T0200,3703A,114.2917,36.0949,安阳市,安钢职工学校,细颗粒物(PM2.5),62,64,54,44,25,128,,,,10,10,5,6,0.4,0.5
2025-06-22T0200,1748A,123.044,41.1196,鞍山市,深沟寺,,34,34,29,16,15,76,,,,24,27,23,16,1.6,1.3
2025-06-22T0200,1749A,123.011,41.0931,鞍山市,太阳城,,39,39,31,21,18,70,,,,24,23,23,14,1.9,1.2
2025-06-22T0200,1750A,123.0485,41.1442,鞍山市,太平,,42,42,37,18,17,69,,,,24,24,23,15,1.7,1.3
2025-06-22T0200,1751A,122.9642,41.0971,鞍山市,铁西三道街,,40,40,34,21,17,63,,,,29,27,22,13,1.4,1.2
2025-06-22T0200,1753A,123.022,41.0821,鞍山市,明达新区,,37,37,31,18,14,77,,,,18,20,22,14,1.4,1.2
2025-06-22T0200,1754A,123.1289,41.0228,鞍山市,千山,,,,,,,,,,,,,,,,
2025-06-22T0200,4201A,122.9446,41.0826,鞍山市,兴盛南路290号,,43,43,36,20,16,72,,,,27,31,15,11,1.1,0.9
2025-06-22T0200,2195A,107.4212,40.761,巴彦淖尔市,附二中,,45,45,30,29,15,52,,,,42,16,12,15,0.5,0.5
2025-06-22T0200,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,40,32,35,17,16,125,,,,19,16,12,11,0.6,0.5
2025-06-22T0200,1956A,86.1472,41.7538,巴音郭楞蒙古自治州,孔雀公园,,34,34,36,7,14,96,,,,11,18,10,10,0.3,0.2
2025-06-22T0200,1957A,86.1972,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),52,54,48,3,8,91,,,,12,15,10,5,0.2,0.3
2025-06-22T0200,1958A,86.2357,41.7173,巴音郭楞蒙古自治州,经济开发区,,30,12,40,10,9,94,,,,7,7,11,9,0.2,0.1
2025-06-22T0200,2914A,106.7677,31.8794,巴中市,苏山坪,,26,10,16,7,12,82,,,,4,5,5,5,0.4,0.4
2025-06-22T0200,3181A,106.7768,31.8526,巴中市,市五中,,14,11,18,7,12,44,,,,8,9,7,7,0.5,0.5
2025-06-22T0200,3183A,106.7418,31.8654,巴中市,圣泉水务公司,,16,16,16,9,10,32,,,,16,13,6,6,0.6,0.5
2025-06-22T0200,3616A,106.7616,31.8344,巴中市,市中心医院,,13,12,16,3,10,40,,,,13,10,6,6,0.5,0.5
2025-06-22T0200,2235A,122.7911,45.6077,白城市,洮北区环保局,,22,20,14,15,10,50,,,,14,11,5,4,0.3,0.3
2025-06-22T0200,2236A,122.8738,45.5725,白城市,市环保局,,17,7,11,3,6,52,,,,8,7,4,5,0.4,0.4
2025-06-22T0200,2231A,126.4219,41.9171,白山市,喜丰,,38,38,29,10,11,16,,,,25,18,4,8,0.7,0.7
2025-06-22T0200,2232A,126.4077,41.9419,白山市,环保局,,38,38,24,11,9,26,,,,13,11,8,9,0.7,0.7
2025-06-22T0200,2647A,104.1724,36.5446,白银市,第三小学,,29,,46,20,20,88,,,,6,14,18,115,0.7,0.8
2025-06-22T0200,2648A,104.1465,36.5482,白银市,动力公司,,26,,37,17,17,81,,,,8,12,7,39,0.4,0.5
2025-06-22T0200,2512A,106.6103,23.9011,百色市,市监测站,,34,34,13,9,7,1,,,,20,10,4,4,0.4,0.4
2025-06-22T0200,2513A,106.6538,23.8859,百色市,市中心血站,,41,41,16,22,11,0,,,,25,16,6,2,0.8,0.6
2025-06-22T0200,3406A,106.6085,23.8798,百色市,祈福高中,,29,29,14,18,10,3,,,,21,12,4,4,0.8,0.6
