timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-03-12T0300,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,22,17,21,9,11,70,70,NA,NA,2,6,4,4,0.4,0.4
2026-03-12T0300,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,22,14,13,6,9,68,68,NA,NA,4,6,6,5,0.3,0.3
2026-03-12T0300,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),90,106,421,17,63,93,93,NA,NA,1,14,2,3,0.6,0.8
2026-03-12T0300,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),115,158,428,28,76,98,98,NA,NA,2,18,4,4,0.3,0.4
2026-03-12T0300,2205A,105.699,38.8409,阿拉善盟,蒙二幼,颗粒物(PM10),58,61,81,24,16,109,109,NA,NA,3,6,9,9,0.5,0.5
2026-03-12T0300,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,颗粒物(PM10),80,91,59,16,10,108,108,NA,NA,6,5,8,8,0.5,0.4
2026-03-12T0300,2708A,88.1266,47.8515,阿勒泰地区,市站,,27,13,10,3,2,86,86,NA,NA,4,3,4,3,0.1,0.2
2026-03-12T0300,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,27,22,13,6,3,85,85,NA,NA,3,3,5,5,0.3,0.3
2026-03-12T0300,2630A,80.1171,32.4999,阿里地区,阿里监测站,,29,17,25,3,5,91,91,NA,NA,1,2,8,8,0.3,0.3
2026-03-12T0300,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,31,16,27,3,4,98,98,NA,NA,2,4,9,9,0.3,0.3
2026-03-12T0300,2644A,109.0088,32.6974,安康市,汉滨区检察院,细颗粒物(PM2.5),106,96,42,66,25,125,125,NA,NA,9,16,4,19,0.5,0.5
2026-03-12T0300,4054A,109.0324,32.6913,安康市,市邮政管理局,细颗粒物(PM2.5),113,109,49,74,29,117,117,NA,NA,10,22,4,9,0.6,0.8
2026-03-12T0300,2291A,117.0806,30.5181,安庆市,环科院,细颗粒物(PM2.5),72,62,60,46,39,76,76,NA,NA,7,28,10,9,0.7,0.6
2026-03-12T0300,2292A,117.0331,30.5118,安庆市,马山宾馆,细颗粒物(PM2.5),68,62,65,44,41,82,82,NA,NA,16,34,8,8,0.9,0.8
2026-03-12T0300,2294A,116.9897,30.6146,安庆市,安庆大学,细颗粒物(PM2.5),74,64,56,47,34,64,64,NA,NA,12,19,4,7,0.6,0.5
2026-03-12T0300,3173A,117.0598,30.5351,安庆市,市人大,细颗粒物(PM2.5),70,61,63,45,39,79,79,NA,NA,13,24,8,9,0.6,0.6
2026-03-12T0300,3123A,105.9408,26.2431,安顺市,凤凰山,细颗粒物(PM2.5),106,95,56,66,41,1,1,NA,NA,54,34,78,41,1.5,1.1
2026-03-12T0300,3124A,105.9443,26.2567,安顺市,金钟山,细颗粒物(PM2.5),84,59,37,52,34,20,20,NA,NA,32,16,42,28,1.3,0.9
2026-03-12T0300,3125A,105.8983,26.248,安顺市,娄家坡,细颗粒物(PM2.5),108,90,47,68,35,8,8,NA,NA,40,17,68,19,1.6,0.8
2026-03-12T0300,1819A,114.3552,36.1017,安阳市,红庙街,细颗粒物(PM2.5),162,NA,100,123,99,67,67,NA,NA,32,24,3,4,0.6,0.6
2026-03-12T0300,1820A,114.361,36.0681,安阳市,银杏小区,细颗粒物(PM2.5),172,146,111,130,105,73,73,NA,NA,29,21,4,4,0.7,0.6
2026-03-12T0300,3141A,114.3921,36.0879,安阳市,信访局,细颗粒物(PM2.5),165,143,121,125,106,68,68,NA,NA,35,23,4,4,0.6,0.7
2026-03-12T0300,3669A,114.4706,36.0634,安阳市,左辅环卫站,细颗粒物(PM2.5),182,186,154,137,103,61,61,NA,NA,34,19,8,4,0.7,0.6
