timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-01-20T2000,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,,,20,,21,16,,66,62,47,18,5,4,,0.6
2026-01-20T2000,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,颗粒物(PM10),58,66,18,16,14,40,,70,68,31,16,6,6,0.7,0.5
2026-01-20T2000,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),500,818,618,137,81,64,,66,66,15,20,8,7,1.0,1.2
2026-01-20T2000,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),500,764,566,143,94,72,,70,70,9,18,4,4,0.6,0.7
2026-01-20T2000,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,24,24,43,11,16,60,,67,67,9,15,9,11,0.6,0.5
2026-01-20T2000,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,21,21,34,13,15,54,,60,60,8,11,9,9,0.5,0.7
2026-01-20T2000,2708A,88.1266,47.8515,阿勒泰地区,市站,,27,13,7,11,5,34,,73,63,53,20,5,3,0.6,0.5
2026-01-20T2000,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,30,30,11,12,3,40,,81,65,48,15,6,4,0.7,0.4
2026-01-20T2000,2630A,80.1171,32.4999,阿里地区,阿里监测站,,20,6,3,3,3,62,,66,61,1,3,5,5,0.5,0.5
2026-01-20T2000,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,29,12,15,3,9,91,,85,85,1,4,10,11,0.5,0.6
2026-01-20T2000,2644A,109.0088,32.6974,安康市,汉滨区检察院,,,34,23,31,23,,,47,47,,12,5,4,0.5,0.7
2026-01-20T2000,4054A,109.0324,32.6913,安康市,市邮政管理局,细颗粒物(PM2.5),55,,20,39,31,41,,43,42,13,11,4,4,0.5,0.5
2026-01-20T2000,2291A,117.0806,30.5181,安庆市,环科院,颗粒物(PM10),51,52,48,30,22,65,,62,62,9,5,4,4,0.4,0.4
2026-01-20T2000,2292A,117.0331,30.5118,安庆市,马山宾馆,,46,39,27,32,22,67,,65,65,17,12,3,4,0.2,0.3
2026-01-20T2000,2294A,116.9897,30.6146,安庆市,安庆大学,,36,32,29,25,22,78,,69,69,13,7,3,3,0.4,0.4
2026-01-20T2000,3173A,117.0598,30.5351,安庆市,市人大,,44,44,48,30,24,65,,62,62,12,8,4,4,0.5,0.7
2026-01-20T2000,3123A,105.9408,26.2431,安顺市,凤凰山,细颗粒物(PM2.5),57,48,31,40,26,19,,33,28,32,18,21,13,0.9,0.7
2026-01-20T2000,3124A,105.9443,26.2567,安顺市,金钟山,细颗粒物(PM2.5),68,,30,49,30,15,,29,25,28,14,19,11,0.8,0.6
2026-01-20T2000,3125A,105.8983,26.248,安顺市,娄家坡,细颗粒物(PM2.5),65,51,31,47,27,21,,30,26,27,16,28,16,1.0,0.9
2026-01-20T2000,1819A,114.3552,36.1017,安阳市,红庙街,,44,44,39,28,19,53,,55,55,15,12,4,2,0.4,0.6
2026-01-20T2000,1820A,114.361,36.0681,安阳市,银杏小区,,43,43,39,29,22,55,,59,59,17,14,4,4,0.3,0.3
2026-01-20T2000,3141A,114.3921,36.0879,安阳市,信访局,,42,41,39,29,23,56,,61,61,20,18,6,5,0.6,0.6
2026-01-20T2000,3669A,114.4706,36.0634,安阳市,左辅环卫站,颗粒物(PM10),56,62,44,39,24,41,,62,59,29,18,4,4,0.5,0.4
2026-01-20T2000,4117A,114.2918,36.0769,安阳市,钢三路198号,颗粒物(PM10),53,56,43,35,23,42,,50,50,18,14,4,4,0.4,0.4
2026-01-20T2000,1748A,123.0441,41.1201,鞍山市,深沟寺,,49,49,49,29,18,33,,55,48,32,23,6,7,0.8,0.8
2026-01-20T2000,1749A,123.011,41.0931,鞍山市,太阳城,,35,35,42,20,15,44,,61,55,26,18,10,12,0.8,0.8
