timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-08-01T1100,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,23,23,20,9,10,56,,37,37,5,6,14,14,0.9,1
2025-08-01T1100,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,22,13,16,9,15,70,,36,36,6,11,7,7,0.6,0.6
2025-08-01T1100,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,22,,15,12,13,68,,41,41,5,5,8,7,0.7,0.7
2025-08-01T1100,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),58,66,46,20,19,55,,27,27,18,14,3,3,0.8,0.8
2025-08-01T1100,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),51,51,49,25,26,63,,32,32,20,17,3,3,0.6,0.6
2025-08-01T1100,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,38,27,17,7,7,120,,114,114,8,10,8,8,0.6,0.6
2025-08-01T1100,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,,,28,16,13,11,103,,94,94,,4,9,9,0.5,0.5
2025-08-01T1100,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,32,24,18,14,10,100,,81,81,6,6,9,8,0.6,0.5
2025-08-01T1100,2708A,88.1264,47.8517,阿勒泰地区,市站,,26,15,31,3,7,83,,81,81,19,16,2,2,0.5,0.4
2025-08-01T1100,2630A,80.1161,32.5,阿里地区,阿里监测站,,16,,4,3,2,50,,52,43,6,7,6,7,0.1,0.1
2025-08-01T1100,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,18,8,5,3,2,56,,60,50,2,3,7,7,0.1,0.1
2025-08-01T1100,2642A,109.0318,32.6537,安康市,香溪洞,,43,28,23,20,13,136,,104,103,6,5,8,8,0.5,0.4
2025-08-01T1100,2644A,109.0072,32.6975,安康市,汉滨区检察院,,41,21,25,10,9,130,,71,71,5,7,10,8,0.7,0.5
2025-08-01T1100,4054A,109.0325,32.6913,安康市,市邮政管理局,,41,30,27,18,16,130,,78,78,5,7,4,5,0.5,0.5
2025-08-01T1100,2291A,117.0809,30.5177,安庆市,环科院,,22,22,17,14,8,53,,53,53,10,11,4,4,0.6,0.5
2025-08-01T1100,2292A,117.0331,30.5119,安庆市,马山宾馆,,25,25,17,16,17,44,,45,45,11,10,2,2,0.3,0.2
2025-08-01T1100,2294A,116.9896,30.6145,安庆市,安庆大学,,32,26,18,22,15,49,,45,45,20,15,4,4,0.5,0.3
2025-08-01T1100,3173A,117.0598,30.5351,安庆市,市人大,,26,18,15,18,15,53,,53,53,12,12,4,4,0.5,0.4
2025-08-01T1100,3122A,105.9606,26.2611,安顺市,伍家关,,,,18,14,11,97,,39,39,5,14,3,3,0.5,0.6
2025-08-01T1100,3123A,105.9408,26.2431,安顺市,凤凰山,,30,23,25,9,17,96,,30,30,7,19,6,5,0.4,0.5
2025-08-01T1100,3124A,105.9439,26.2564,安顺市,金钟山,,,,20,,16,95,,43,43,,9,8,6,,0.5
2025-08-01T1100,3125A,105.8983,26.2481,安顺市,娄家坡,,27,22,20,13,19,84,,58,58,5,9,6,7,0.4,0.5
2025-08-01T1100,1818A,114.4839,36.0621,安阳市,棉研所,,,,,,,,,,,,,,,,
2025-08-01T1100,1819A,114.3551,36.1017,安阳市,红庙街,颗粒物(PM10),51,52,36,24,14,146,,92,92,14,13,6,4,0.6,0.5
2025-08-01T1100,1820A,114.361,36.0681,安阳市,银杏小区,颗粒物(PM10),52,54,37,30,14,147,,100,100,12,13,4,4,0.6,0.5
2025-08-01T1100,3141A,114.3922,36.0878,安阳市,信访局,颗粒物(PM10),55,60,34,34,12,151,,100,100,12,12,6,6,0.7,0.6
2025-08-01T1100,3669A,114.4705,36.0637,安阳市,左辅环卫站,颗粒物(PM10),53,55,40,30,16,136,,96,96,11,13,7,6,0.5,0.4
2025-08-01T1100,3703A,114.2917,36.0949,安阳市,安钢职工学校,,49,49,41,22,15,145,,98,98,8,11,6,7,0.6,0.5
