timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2024-12-24T2000,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,颗粒物(PM10),51,51,32,13,11,53,,73,71,22,12,6,7,0.8,0.7
2024-12-24T2000,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,42,42,19,26,16,19,,49,44,44,23,4,4,0.6,0.5
2024-12-24T2000,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,颗粒物(PM10),53,55,25,23,13,22,,60,56,45,18,7,6,0.6,0.5
2024-12-24T2000,2695A,80.292,41.1694,阿克苏地区,电视台,细颗粒物(PM2.5),75,68,114,55,82,44,,51,51,37,49,3,4,1.0,2.3
2024-12-24T2000,2696A,80.2613,41.1551,阿克苏地区,艺术中心,细颗粒物(PM2.5),72,75,98,52,77,59,,54,54,27,48,3,4,0.9,1.8
2024-12-24T2000,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,48,48,67,31,30,35,,86,76,55,20,10,10,1.0,0.7
2024-12-24T2000,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,,38,38,63,20,20,50,,82,75,38,19,5,6,0.8,0.6
2024-12-24T2000,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,27,14,53,3,16,85,,85,83,7,10,7,8,0.4,0.6
2024-12-24T2000,2708A,88.1264,47.8517,阿勒泰地区,市站,,38,34,17,26,12,2,,44,34,61,29,8,8,0.5,0.3
2024-12-24T2000,2630A,80.1161,32.5,阿里地区,阿里监测站,,31,9,13,8,8,99,,102,102,2,6,6,6,0.6,0.6
2024-12-24T2000,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,30,6,13,3,8,94,,102,102,2,5,5,7,0.5,0.6
2024-12-24T2000,2642A,109.0318,32.6537,安康市,香溪洞,细颗粒物(PM2.5),92,88,63,68,56,27,,46,45,43,23,10,9,0.8,0.6
2024-12-24T2000,2644A,109.0072,32.6975,安康市,汉滨区检察院,细颗粒物(PM2.5),122,119,75,92,57,31,,44,44,50,31,12,9,1.1,0.8
2024-12-24T2000,4054A,109.0325,32.6913,安康市,市邮政管理局,细颗粒物(PM2.5),153,149,80,117,61,8,,37,33,65,35,10,8,1.4,0.8
