timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2024-04-03T1300,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,22,22,21,7,7,26,,15,15,6,7,3,3,0.3,0.4
2024-04-03T1300,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,,11,18,11,13,88,,47,47,,8,4,4,0.3,0.4
2024-04-03T1300,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,28,14,20,11,15,88,,52,51,5,5,4,4,0.3,0.3
2024-04-03T1300,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),148,245,154,47,42,96,,76,62,9,12,9,5,0.5,0.6
2024-04-03T1300,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),150,249,155,43,45,101,,66,45,8,18,7,4,0.6,0.8
2024-04-03T1300,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,36,36,62,12,19,103,,94,94,5,7,8,8,0.6,0.6
2024-04-03T1300,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,,39,39,75,13,21,92,,87,87,4,5,8,8,0.4,0.4
2024-04-03T1300,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,43,43,76,14,19,92,,91,91,5,5,7,7,0.3,0.3
2024-04-03T1300,2708A,88.1264,47.8517,阿勒泰地区,市站,,24,17,15,7,4,74,,74,74,4,7,4,4,0.2,0.2
2024-04-03T1300,2630A,80.1161,32.5,阿里地区,阿里监测站,,39,6,8,4,4,123,,101,100,2,8,9,10,0.4,0.4
2024-04-03T1300,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,40,7,11,4,5,126,,118,113,2,5,8,9,0.5,0.5
2024-04-03T1300,2642A,109.0318,32.6537,安康市,香溪洞,,42,42,20,24,13,20,,48,32,20,9,5,5,0.8,0.5
2024-04-03T1300,2643A,109.0281,32.6939,安康市,安康市监测站,颗粒物(PM10),55,60,36,34,22,30,,18,18,15,19,12,9,0.7,0.7
2024-04-03T1300,2644A,109.0072,32.6975,安康市,汉滨区检察院,细颗粒物(PM2.5),58,53,38,41,26,22,,16,16,12,17,9,9,0.7,0.6
2024-04-03T1300,2291A,117.0809,30.5177,安庆市,环科院,,29,,12,20,9,88,,81,81,11,19,6,6,0.7,0.6
2024-04-03T1300,2292A,117.0331,30.5119,安庆市,马山宾馆,,32,,12,22,10,95,,69,69,12,21,6,6,0.6,0.6
2024-04-03T1300,2294A,116.9896,30.6145,安庆市,安庆大学,,42,,11,29,8,95,,72,72,9,14,6,6,0.4,0.3
2024-04-03T1300,3173A,117.0598,30.5351,安庆市,市人大,,38,,12,26,9,93,,66,66,12,15,4,6,0.7,0.6
2024-04-03T1300,3122A,105.9606,26.2611,安顺市,伍家关,,,,,,,,,,,,,,,,
2024-04-03T1300,3123A,105.9408,26.2431,安顺市,凤凰山,,43,34,40,24,29,136,,105,105,6,11,8,13,0.5,0.5
2024-04-03T1300,3124A,105.9439,26.2564,安顺市,金钟山,,42,34,37,24,28,132,,99,99,6,8,6,11,0.6,0.5
2024-04-03T1300,3125A,105.8983,26.2481,安顺市,娄家坡,,48,45,49,33,29,135,,100,100,6,9,8,12,0.4,0.5
2024-04-03T1300,1818A,114.4839,36.0621,安阳市,棉研所,,,,,,,,,,,,,,,,
2024-04-03T1300,1819A,114.3551,36.1017,安阳市,红庙街,颗粒物(PM10),54,58,118,20,47,82,,95,95,11,20,4,8,0.7,0.8
2024-04-03T1300,1820A,114.361,36.0681,安阳市,银杏小区,颗粒物(PM10),65,80,119,22,49,82,,94,94,6,15,6,9,0.7,0.9
2024-04-03T1300,3141A,114.3922,36.0878,安阳市,信访局,颗粒物(PM10),53,56,112,23,47,82,,94,94,16,24,4,6,0.2,0.3
2024-04-03T1300,3669A,114.4705,36.0637,安阳市,左辅环卫站,颗粒物(PM10),51,52,117,25,49,77,,92,90,12,21,5,7,0.5,0.6
2024-04-03T1300,3703A,114.2917,36.0949,安阳市,安钢职工学校,颗粒物(PM10),59,68,148,25,64,76,,92,90,19,29,9,15,0.7,0.9
2024-04-03T1300,1748A,123.044,41.1196,鞍山市,深沟寺,颗粒物(PM10),54,58,66,15,32,103,,80,80,9,23,7,9,0.5,0.7
2024-04-03T1300,1749A,123.011,41.0931,鞍山市,太阳城,,49,49,60,16,30,112,,88,88,10,22,8,10,0.4,0.7
2024-04-03T1300,1750A,123.0485,41.1442,鞍山市,太平,颗粒物(PM10),88,125,93,23,41,104,,80,80,11,33,4,7,0.3,0.6
2024-04-03T1300,1751A,122.9642,41.0971,鞍山市,铁西三道街,颗粒物(PM10),80,110,103,33,55,103,,75,75,30,42,19,12,1.6,1.2
2024-04-03T1300,1752A,122.9341,41.0833,鞍山市,铁西工业园区,颗粒物(PM10),74,98,101,32,61,108,,69,69,21,45,10,17,0.9,1.7
2024-04-03T1300,1753A,123.022,41.0821,鞍山市,明达新区,颗粒物(PM10),56,62,61,21,30,102,,79,79,11,23,9,11,0.4,0.6
2024-04-03T1300,1754A,123.1289,41.0228,鞍山市,千山,,,,,,,,,,,,,,,,
2024-04-03T1300,2195A,107.4212,40.761,巴彦淖尔市,附二中,颗粒物(PM10),53,55,51,9,21,93,,72,72,6,13,6,4,0.3,0.4
2024-04-03T1300,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,颗粒物(PM10),53,55,48,6,17,94,,78,78,7,10,6,5,0.4,0.4
2024-04-03T1300,1956A,86.1472,41.7538,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),98,145,52,39,17,94,,57,54,7,20,6,6,0.3,0.3
2024-04-03T1300,1957A,86.1972,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),91,132,48,42,16,90,,47,47,8,21,3,3,0.2,0.3
2024-04-03T1300,1958A,86.2357,41.7173,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),88,126,40,33,15,84,,67,60,15,12,8,5,0.3,0.2
2024-04-03T1300,2914A,106.7677,31.8794,巴中市,苏山坪,颗粒物(PM10),79,107,67,37,26,84,,75,75,7,7,2,3,0.3,0.4
2024-04-03T1300,3182A,106.7656,31.8545,巴中市,丽阳花园,颗粒物(PM10),70,89,62,32,27,89,,38,38,10,27,3,4,0.4,0.6
2024-04-03T1300,3183A,106.7418,31.8654,巴中市,圣泉水务公司,颗粒物(PM10),73,96,60,36,29,84,,46,46,13,27,5,5,0.4,0.6
2024-04-03T1300,3616A,106.7616,31.8344,巴中市,市中心医院,颗粒物(PM10),65,79,55,27,26,93,,41,41,6,20,5,5,0.3,0.5
2024-04-03T1300,2235A,122.7911,45.6077,白城市,洮北区环保局,,47,47,81,9,28,97,,90,90,10,11,6,6,0.3,0.4
2024-04-03T1300,2236A,122.8738,45.5725,白城市,市环保局,,,34,57,16,27,99,,83,83,7,13,,5,0.5,0.5
2024-04-03T1300,2231A,126.4219,41.9171,白山市,喜丰,,33,23,56,10,21,104,,62,62,8,26,8,12,0.7,1
2024-04-03T1300,2232A,126.4077,41.9419,白山市,环保局,,35,30,71,24,29,99,,55,55,6,23,10,12,0.5,0.8
2024-04-03T1300,2647A,104.1724,36.5446,白银市,第三小学,颗粒物(PM10),65,79,88,35,28,89,,64,64,5,8,11,12,0.4,0.3
2024-04-03T1300,2648A,104.1465,36.5482,白银市,动力公司,颗粒物(PM10),65,79,82,34,25,92,,67,67,7,11,11,8,0.4,0.4
2024-04-03T1300,2512A,106.6103,23.9011,百色市,市监测站,,,,105,,65,,,116,,,20,,13,,0.9
2024-04-03T1300,2513A,106.6538,23.8859,百色市,市中心血站,细颗粒物(PM2.5),110,134,112,83,78,167,,73,73,16,29,22,13,0.9,0.8
2024-04-03T1300,3406A,106.6085,23.8798,百色市,祈福高中,细颗粒物(PM2.5),118,139,106,89,76,177,,74,74,16,27,39,16,1.2,0.9
2024-04-03T1300,2270A,117.396,32.939,蚌埠市,工人疗养院,,,100,81,71,56,,,47,39,13,12,5,5,0.7,0.7
2024-04-03T1300,2271A,117.3605,32.9427,蚌埠市,百货大楼,细颗粒物(PM2.5),109,108,78,82,57,41,,48,38,21,18,3,3,0.7,0.7
2024-04-03T1300,2273A,117.4185,32.8911,蚌埠市,蚌埠学院,细颗粒物(PM2.5),98,73,55,73,55,39,,53,40,22,17,4,3,0.7,0.7
2024-04-03T1300,2274A,117.3533,32.9673,蚌埠市,淮上区政府,细颗粒物(PM2.5),100,92,66,75,60,41,,46,36,17,17,4,4,0.5,0.6
2024-04-03T1300,2275A,117.3145,32.8977,蚌埠市,高新区,细颗粒物(PM2.5),110,,52,83,58,47,,51,42,21,18,4,4,0.7,0.8
2024-04-03T1300,3715A,117.3092,32.9314,蚌埠市,蚌埠田家炳中学,细颗粒物(PM2.5),109,114,80,82,61,43,,47,41,22,18,4,5,0.6,0.7
2024-04-03T1300,1585A,109.8756,40.6532,包头市,市环境监测站,,32,26,44,11,9,102,,72,72,8,12,11,10,0.7,0.6
2024-04-03T1300,1587A,109.9991,40.5842,包头市,包头八中,,39,39,58,16,16,107,,61,61,10,21,12,14,0.3,0.4
2024-04-03T1300,1588A,109.8538,40.6821,包头市,青山宾馆,,31,30,58,16,8,98,,71,71,10,11,13,11,0.4,0.4
2024-04-03T1300,1589A,109.8642,40.6288,包头市,惠龙物流,,,26,41,19,10,,,65,65,11,15,10,10,0.6,0.6
2024-04-03T1300,1590A,110.0377,40.5546,包头市,东河鸿龙湾,,36,25,51,17,18,113,,63,63,8,19,12,15,0.6,0.7
