timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2024-09-20T1900,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,32,32,19,14,8,48,,71,71,15,9,7,7,0,0
2024-09-20T1900,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,30,30,19,9,8,32,,65,65,11,7,4,4,0.5,0.4
2024-09-20T1900,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,48,,17,33,19,44,,68,68,8,7,5,5,0.5,0.4
2024-09-20T1900,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),82,114,134,46,45,120,,105,105,8,30,7,5,0.4,0.7
2024-09-20T1900,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),80,109,124,36,41,123,,103,103,8,33,3,4,0.5,1.1
2024-09-20T1900,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,36,21,42,20,26,115,,116,116,9,8,7,7,0.6,0.6
2024-09-20T1900,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,,29,17,73,3,13,91,,95,95,9,5,6,9,0.5,0.5
2024-09-20T1900,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,31,10,42,3,11,97,,99,99,7,6,8,8,0.4,0.3
2024-09-20T1900,2708A,88.1264,47.8517,阿勒泰地区,市站,,28,20,27,3,6,89,,90,90,21,17,7,7,0.1,0.3
2024-09-20T1900,2630A,80.1161,32.5,阿里地区,阿里监测站,,33,6,6,3,4,104,,96,96,4,15,8,6,0.3,0.3
2024-09-20T1900,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,34,7,10,3,2,107,,100,100,7,11,6,7,0.2,0.3
2024-09-20T1900,2642A,109.0318,32.6537,安康市,香溪洞,颗粒物(PM10),89,127,41,16,13,71,,94,92,4,5,6,7,0.4,0.4
2024-09-20T1900,2643A,109.0281,32.6939,安康市,安康市监测站,,20,20,21,11,13,62,,95,91,6,8,6,10,0.5,0.6
2024-09-20T1900,2644A,109.0072,32.6975,安康市,汉滨区检察院,,27,27,25,10,12,58,,97,92,7,9,7,9,0.5,0.5
2024-09-20T1900,2291A,117.0809,30.5177,安庆市,环科院,,18,14,18,3,9,57,,59,59,9,7,7,7,0.5,0.4
2024-09-20T1900,2292A,117.0331,30.5119,安庆市,马山宾馆,,19,16,17,13,9,56,,60,60,9,7,9,9,0.3,0.3
2024-09-20T1900,2294A,116.9896,30.6145,安庆市,安庆大学,,20,16,18,14,9,54,,57,57,7,7,8,8,0.3,0.3
2024-09-20T1900,3173A,117.0598,30.5351,安庆市,市人大,,23,18,17,16,11,54,,56,56,8,6,6,7,0.7,0.7
2024-09-20T1900,3123A,105.9408,26.2431,安顺市,凤凰山,,46,42,51,32,45,100,,111,111,9,13,15,13,0.5,0.6
2024-09-20T1900,3125A,105.8983,26.2481,安顺市,娄家坡,,46,42,45,32,35,101,,110,110,10,11,7,11,0.6,0.6
2024-09-20T1900,1819A,114.3551,36.1017,安阳市,红庙街,,14,14,60,8,32,44,,139,119,16,28,4,6,0.4,1
2024-09-20T1900,1820A,114.361,36.0681,安阳市,银杏小区,,,7,54,,,54,,136,122,57,26,3,5,0.5,1.2
2024-09-20T1900,3141A,114.3922,36.0878,安阳市,信访局,,20,20,56,3,26,47,,138,119,21,27,2,4,0.5,1
2024-09-20T1900,3669A,114.4705,36.0637,安阳市,左辅环卫站,,33,33,60,3,30,49,,121,107,18,28,3,4,0.8,1
2024-09-20T1900,3703A,114.2917,36.0949,安阳市,安钢职工学校,,13,6,69,3,34,40,,127,116,19,31,4,6,0.4,1.2
2024-09-20T1900,1748A,123.044,41.1196,鞍山市,深沟寺,,19,19,29,7,13,25,,39,31,20,16,4,4,0.4,0.6
2024-09-20T1900,1749A,123.011,41.0931,鞍山市,太阳城,,25,25,29,12,14,25,,40,32,20,16,6,6,0.4,0.5
2024-09-20T1900,1750A,123.0485,41.1442,鞍山市,太平,,19,19,36,10,16,25,,40,31,25,25,6,7,0.5,0.7
2024-09-20T1900,1751A,122.9642,41.0971,鞍山市,铁西三道街,,42,42,45,19,17,10,,25,15,35,33,19,17,2.0,1.9
2024-09-20T1900,1752A,122.9341,41.0833,鞍山市,铁西工业园区,,32,32,39,16,15,12,,29,22,37,33,21,16,1.6,1.5
2024-09-20T1900,1753A,123.022,41.0821,鞍山市,明达新区,,20,20,30,6,12,22,,36,28,20,17,4,5,0.4,0.5
2024-09-20T1900,2195A,107.4212,40.761,巴彦淖尔市,附二中,,37,37,35,19,15,68,,83,82,7,4,4,5,0.4,0.4
2024-09-20T1900,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,38,38,32,12,13,73,,88,87,7,4,4,4,0.4,0.3
2024-09-20T1900,1956A,86.1472,41.7538,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),69,87,82,18,20,118,,111,111,6,23,6,8,0.5,0.4
2024-09-20T1900,1957A,86.1972,41.7166,巴音郭楞蒙古自治州,棉纺厂,,,82,87,31,26,127,,114,114,6,25,5,9,,0.3
2024-09-20T1900,1958A,86.2357,41.7173,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),65,79,82,22,30,131,,114,114,7,12,7,6,0.3,0.3
2024-09-20T1900,2914A,106.7677,31.8794,巴中市,苏山坪,,22,16,22,8,16,68,,99,95,6,7,4,4,0.4,0.4
2024-09-20T1900,3182A,106.7656,31.8545,巴中市,丽阳花园,,22,18,35,10,25,69,,99,96,7,19,5,5,0.4,0.6
2024-09-20T1900,3183A,106.7418,31.8654,巴中市,圣泉水务公司,,21,16,28,9,21,67,,98,97,7,13,4,3,0.5,0.6
2024-09-20T1900,3616A,106.7616,31.8344,巴中市,市中心医院,,21,18,34,8,24,67,,98,95,8,21,5,5,0.5,0.6
2024-09-20T1900,2235A,122.7911,45.6077,白城市,洮北区环保局,,27,27,18,7,7,33,,53,51,27,10,8,7,0.3,0.3
2024-09-20T1900,2236A,122.8738,45.5725,白城市,市环保局,,41,41,32,7,5,29,,52,50,29,14,3,3,0.5,0.2
2024-09-20T1900,2231A,126.4219,41.9171,白山市,喜丰,,21,7,26,3,10,67,,57,57,15,16,6,7,0.4,0.6
2024-09-20T1900,2232A,126.4077,41.9419,白山市,环保局,,22,17,28,7,12,68,,52,52,9,16,7,7,0.5,0.6
2024-09-20T1900,2647A,104.1724,36.5446,白银市,第三小学,,26,22,66,10,9,82,,99,97,17,7,17,7,0.7,0.5
2024-09-20T1900,2648A,104.1465,36.5482,白银市,动力公司,,26,19,46,13,14,81,,96,93,15,5,15,4,0.7,0.6
2024-09-20T1900,2512A,106.6103,23.9011,百色市,市监测站,,29,27,25,20,14,62,,82,82,11,9,5,5,0.7,0.5
2024-09-20T1900,2513A,106.6538,23.8859,百色市,市中心血站,,46,46,33,19,18,100,,95,95,11,14,10,5,0.6,0.7
2024-09-20T1900,3406A,106.6085,23.8798,百色市,祈福高中,,46,46,31,19,16,89,,84,84,15,12,8,4,0.7,0.6
2024-09-20T1900,2270A,117.396,32.939,蚌埠市,工人疗养院,,32,32,29,7,5,83,,76,76,7,5,6,6,0.3,0.2
2024-09-20T1900,2271A,117.3605,32.9427,蚌埠市,百货大楼,,34,34,29,11,7,76,,72,72,6,3,7,7,0.3,0.2
2024-09-20T1900,2273A,117.4185,32.8911,蚌埠市,蚌埠学院,,29,29,22,11,8,78,,74,74,6,5,7,8,0.3,0.3
2024-09-20T1900,2274A,117.3533,32.9673,蚌埠市,淮上区政府,,29,29,24,11,8,71,,70,70,9,6,6,6,0.3,0.3
2024-09-20T1900,2275A,117.3145,32.8977,蚌埠市,高新区,,31,31,24,10,8,68,,68,68,15,6,8,10,0.4,0.4
2024-09-20T1900,3715A,117.3092,32.9314,蚌埠市,蚌埠田家炳中学,,47,47,28,15,9,53,,61,61,20,6,6,6,0.4,0.3
2024-09-20T1900,1585A,109.8756,40.6532,包头市,市环境监测站,,18,11,12,6,7,55,,65,,14,10,5,4,0.1,0.3
2024-09-20T1900,1587A,109.9991,40.5842,包头市,包头八中,,18,15,16,3,2,56,,70,68,25,13,2,3,0.5,0.5
2024-09-20T1900,1588A,109.8538,40.6821,包头市,青山宾馆,,19,6,7,3,1,58,,69,67,8,5,4,4,0.5,0.5
2024-09-20T1900,1589A,109.8642,40.6288,包头市,惠龙物流,,18,13,9,3,4,56,,70,69,12,8,4,4,0.4,0.4
2024-09-20T1900,1590A,110.0377,40.5546,包头市,东河鸿龙湾,,18,14,13,3,6,57,,68,68,10,9,8,9,0.4,0.5
2024-09-20T1900,3283A,109.9154,40.5685,包头市,滨河大厦,,19,6,10,3,5,60,,73,72,9,9,6,7,0.5,0.5
2024-09-20T1900,3419A,109.9447,40.6261,包头市,包头市委党校,,18,,14,6,5,57,,67,67,11,9,3,4,0.4,0.4
2024-09-20T1900,3683A,109.8331,40.6576,包头市,昆区政府,,18,8,7,3,1,55,,69,67,12,7,4,3,0.4,0.4
2024-09-20T1900,1930A,107.185,34.3063,宝鸡市,庙沟村,,24,,38,10,20,74,,72,72,5,7,8,8,0.3,0.4
2024-09-20T1900,1931A,107.0708,34.3017,宝鸡市,竹园沟,,17,17,35,8,20,40,,54,53,8,8,7,7,0.4,0.5
2024-09-20T1900,1932A,107.1906,34.3672,宝鸡市,三陆医院,,24,24,49,10,24,28,,39,37,28,21,6,6,0.6,0.6
2024-09-20T1900,1933A,107.1431,34.3547,宝鸡市,监测站,,34,34,47,9,21,30,,46,42,22,15,6,6,0.8,0.7
2024-09-20T1900,1934A,107.1186,34.3739,宝鸡市,技工学校,,28,28,51,16,33,34,,49,47,21,15,8,8,0.6,0.6
2024-09-20T1900,1935A,107.3906,34.3528,宝鸡市,陈仓区环保局家属楼,,24,24,46,15,23,42,,52,52,27,18,8,8,0.6,0.6
2024-09-20T1900,1936A,107.2058,34.3497,宝鸡市,文理学院,,30,30,50,7,20,31,,48,47,27,17,8,8,0.6,0.5
2024-09-20T1900,1937A,107.2386,34.3622,宝鸡市,三迪小学,,31,31,49,13,26,21,,43,42,44,24,8,8,0.7,0.6
2024-09-20T1900,1051A,115.493,38.8632,保定市,游泳馆,,19,14,42,3,17,59,,51,51,12,17,3,3,0.2,0.2
2024-09-20T1900,1052A,115.5213,38.8959,保定市,华电二区,,26,,45,18,28,48,,44,38,6,12,2,3,0.0,0.3
2024-09-20T1900,1053A,115.4713,38.9108,保定市,接待中心,,17,11,43,3,20,54,,47,47,10,13,2,2,0,0.1
2024-09-20T1900,1054A,115.4612,38.8416,保定市,地表水厂,,20,20,53,3,17,57,,48,48,8,15,2,2,0,0.2
2024-09-20T1900,3581A,115.31981,38.95208,保定市,满城区生态环境分局,,16,6,48,3,24,50,,48,48,15,16,2,3,0.3,0.4
2024-09-20T1900,3582A,115.47694,38.76408,保定市,清苑区第二中学,,18,18,44,10,26,50,,47,47,11,16,3,2,0.2,0.4
2024-09-20T1900,3583A,115.62909,39.02311,保定市,徐水物探局,,18,6,39,3,21,55,,49,49,9,16,2,4,0.4,0.5
