timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-06-13T1100,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,颗粒物(PM10),51,52,16,7,8,67,,48,48,9,10,12,12,0.5,0.5
2025-06-13T1100,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,26,18,19,12,19,83,,48,48,7,10,5,6,0.5,0.5
2025-06-13T1100,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,28,9,17,9,15,88,,52,52,4,7,5,5,0.4,0.4
2025-06-13T1100,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),97,143,717,46,171,81,,70,61,12,15,4,4,0.3,0.3
2025-06-13T1100,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),117,184,727,53,191,93,,53,48,11,17,4,4,0.5,0.5
2025-06-13T1100,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,42,19,46,6,23,133,,108,108,8,10,5,6,0.6,0.5
2025-06-13T1100,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,,33,29,70,10,21,105,,87,87,2,3,8,8,0.4,0.3
2025-06-13T1100,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,40,22,53,11,21,127,,111,111,3,4,10,9,0.3,0.3
2025-06-13T1100,2708A,88.1264,47.8517,阿勒泰地区,市站,,27,27,23,3,6,81,,81,81,18,7,2,2,0.4,0.4
2025-06-13T1100,2630A,80.1161,32.5,阿里地区,阿里监测站,,36,25,15,15,10,114,,111,103,8,7,5,4,0.4,0.3
2025-06-13T1100,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,41,21,24,17,14,131,,125,120,2,4,6,6,0.4,0.4
2025-06-13T1100,2642A,109.0318,32.6537,安康市,香溪洞,,38,,26,21,21,120,,80,78,6,8,7,6,0.4,0.4
2025-06-13T1100,2644A,109.0072,32.6975,安康市,汉滨区检察院,,46,46,41,26,20,116,,57,57,8,10,17,13,0.6,0.5
2025-06-13T1100,4054A,109.0325,32.6913,安康市,市邮政管理局,,47,47,42,22,19,123,,60,60,9,13,19,10,0.8,0.7
2025-06-13T1100,2291A,117.0809,30.5177,安庆市,环科院,颗粒物(PM10),51,51,32,34,25,106,,72,72,18,9,4,3,0.8,0.7
2025-06-13T1100,2292A,117.0331,30.5119,安庆市,马山宾馆,,42,42,30,23,26,106,,70,70,16,10,4,5,0.8,0.7
2025-06-13T1100,2294A,116.9896,30.6145,安庆市,安庆大学,,35,35,31,20,26,92,,64,64,4,6,3,3,0.6,0.6
2025-06-13T1100,3173A,117.0598,30.5351,安庆市,市人大,,37,28,30,23,23,118,,76,76,6,9,2,3,0.6,0.6
2025-06-13T1100,3123A,105.9408,26.2431,安顺市,凤凰山,,32,18,25,18,17,100,,56,56,12,9,5,6,0.5,0.4
2025-06-13T1100,3124A,105.9439,26.2564,安顺市,金钟山,,,,24,,19,105,,62,62,8,5,,7,0.4,0.2
2025-06-13T1100,3125A,105.8983,26.2481,安顺市,娄家坡,,33,32,24,23,15,79,,59,59,13,5,21,7,0.5,0.4
2025-06-13T1100,1819A,114.3551,36.1017,安阳市,红庙街,,46,43,54,32,24,132,,105,97,2,2,2,3,0.4,0.4
2025-06-13T1100,1820A,114.361,36.0681,安阳市,银杏小区,,,,49,52,32,127,,104,95,,3,,4,0.5,0.4
