timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-09-08T0200,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,9,7,18,6,8,23,,,,5,5,3,2,0.0,0.1
2025-09-08T0200,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,19,19,13,10,11,8,,,,7,6,8,8,0.5,0.6
2025-09-08T0200,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,21,21,19,6,11,16,,,,4,4,9,9,0.5,0.5
2025-09-08T0200,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),435,535,606,3,193,4,,,,51,19,6,5,1.7,0.9
2025-09-08T0200,2696A,80.2613,41.1551,阿克苏地区,艺术中心,细颗粒物(PM2.5),240,,550,190,219,5,,,,68,26,5,4,1.4,0.6
2025-09-08T0200,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,42,42,48,17,16,112,,,,8,16,9,9,0.8,0.8
2025-09-08T0200,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,,40,40,49,15,14,107,,,,4,10,9,8,0.4,0.3
2025-09-08T0200,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,38,38,39,13,13,120,,,,3,5,8,8,0.3,0.3
2025-09-08T0200,2708A,88.1264,47.8517,阿勒泰地区,市站,,26,26,41,10,9,65,,,,7,18,3,3,0.3,0.3
2025-09-08T0200,2630A,80.1161,32.5,阿里地区,阿里监测站,,19,6,2,3,2,60,,,,8,6,9,9,0.3,0.3
2025-09-08T0200,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,20,7,6,3,2,62,,,,6,4,6,6,0.2,0.2
2025-09-08T0200,2642A,109.0318,32.6537,安康市,香溪洞,,20,20,15,3,5,39,,,,8,7,8,8,0.5,0.4
2025-09-08T0200,2644A,109.0072,32.6975,安康市,汉滨区检察院,,16,16,19,8,9,36,,,,7,8,6,6,0.5,0.5
2025-09-08T0200,4054A,109.0325,32.6913,安康市,市邮政管理局,,13,13,20,8,10,40,,,,8,11,5,5,0.5,0.5
2025-09-08T0200,2291A,117.0809,30.5177,安庆市,环科院,,49,49,40,32,29,105,,,,5,4,7,6,1.1,0.8
2025-09-08T0200,2292A,117.0331,30.5119,安庆市,马山宾馆,细颗粒物(PM2.5),52,47,37,36,29,110,,,,7,6,7,4,1.2,0.9
2025-09-08T0200,2294A,116.9896,30.6145,安庆市,安庆大学,,48,42,37,33,27,93,,,,6,6,4,4,0.7,0.7
2025-09-08T0200,3173A,117.0598,30.5351,安庆市,市人大,细颗粒物(PM2.5),52,46,36,36,29,113,,,,8,7,7,5,1.0,0.7
2025-09-08T0200,3122A,105.9606,26.2611,安顺市,伍家关,,21,18,34,14,17,67,,,,3,6,7,10,0.5,0.5
2025-09-08T0200,3123A,105.9408,26.2431,安顺市,凤凰山,,23,23,31,16,23,71,,,,5,8,10,12,0.6,0.7
2025-09-08T0200,3124A,105.9439,26.2564,安顺市,金钟山,,25,20,30,17,25,70,,,,3,5,9,10,0.6,0.6
2025-09-08T0200,3125A,105.8983,26.2481,安顺市,娄家坡,,22,16,26,15,21,65,,,,2,5,9,10,0.5,0.5
2025-09-08T0200,1819A,114.3551,36.1017,安阳市,红庙街,颗粒物(PM10),63,76,72,22,23,44,,,,26,18,9,11,0.9,0.9
2025-09-08T0200,1820A,114.361,36.0681,安阳市,银杏小区,颗粒物(PM10),58,65,70,29,26,48,,,,26,18,9,10,0.7,0.7
2025-09-08T0200,3141A,114.3922,36.0878,安阳市,信访局,颗粒物(PM10),58,65,72,25,24,49,,,,26,16,8,10,0.7,0.8
2025-09-08T0200,3669A,114.4705,36.0637,安阳市,左辅环卫站,颗粒物(PM10),54,58,63,28,25,45,,,,22,18,6,9,0.7,0.9
2025-09-08T0200,3703A,114.2917,36.0949,安阳市,安钢职工学校,颗粒物(PM10),70,90,78,36,26,50,,,,18,13,25,8,0.6,0.6
2025-09-08T0200,1748A,123.044,41.1196,鞍山市,深沟寺,颗粒物(PM10),55,60,35,30,17,121,,,,4,7,7,9,1.0,1.1
2025-09-08T0200,1749A,123.011,41.0931,鞍山市,太阳城,细颗粒物(PM2.5),59,64,41,42,20,122,,,,7,13,7,10,0.8,0.9
2025-09-08T0200,1750A,123.0485,41.1442,鞍山市,太平,颗粒物(PM10),67,83,50,38,21,120,,,,8,19,10,14,1.0,1.1
2025-09-08T0200,1751A,122.9642,41.0971,鞍山市,铁西三道街,颗粒物(PM10),77,103,58,40,22,114,,,,21,28,8,12,1.4,1.2
