timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-12-31T0700,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,,,,,,,,,,,,,,,
2025-12-31T0700,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,22,16,24,15,22,32,32,,,8,21,4,5,0.5,0.7
2025-12-31T0700,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,11,6,18,3,12,35,35,,,9,16,6,6,0.5,0.6
2025-12-31T0700,2695A,80.292,41.1694,阿克苏地区,电视台,,46,44,49,32,31,41,41,,,20,17,4,4,0.7,0.6
2025-12-31T0700,2696A,80.2613,41.1551,阿克苏地区,艺术中心,细颗粒物(PM2.5),54,48,43,38,35,55,55,,,6,12,4,5,0.4,0.5
2025-12-31T0700,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,,,,,,,,,,,,,,,
2025-12-31T0700,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,颗粒物(PM10),60,69,64,20,24,52,52,,,12,18,11,13,0.6,0.8
2025-12-31T0700,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,49,49,43,20,20,46,46,,,13,14,9,12,0.6,0.6
2025-12-31T0700,2708A,88.1264,47.8517,阿勒泰地区,市站,,26,6,7,3,4,82,82,,,5,20,3,2,0.6,0.6
2025-12-31T0700,2630A,80.1161,32.5,阿里地区,阿里监测站,,20,6,3,3,3,64,64,,,1,10,9,12,0.3,0.4
2025-12-31T0700,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,25,21,15,17,10,30,30,,,24,13,11,13,0.7,0.5
2025-12-31T0700,2642A,109.0318,32.6537,安康市,香溪洞,,,,,,,,,,,,,,,,
2025-12-31T0700,2644A,109.0072,32.6975,安康市,汉滨区检察院,细颗粒物(PM2.5),137,107,112,104,76,90,90,,,14,26,4,7,0.6,0.7
2025-12-31T0700,4054A,109.0325,32.6913,安康市,市邮政管理局,细颗粒物(PM2.5),137,108,92,104,71,75,75,,,14,26,4,5,0.7,1
2025-12-31T0700,2291A,117.0809,30.5177,安庆市,环科院,颗粒物(PM10),52,54,153,26,120,46,46,,,11,16,6,7,0.3,0.8
2025-12-31T0700,2292A,117.0331,30.5119,安庆市,马山宾馆,颗粒物(PM10),54,58,154,27,119,48,48,,,17,23,5,6,0.7,1.2
2025-12-31T0700,2294A,116.9896,30.6145,安庆市,安庆大学,,40,40,150,18,114,50,50,,,13,18,4,4,0.6,1
2025-12-31T0700,3173A,117.0598,30.5351,安庆市,市人大,颗粒物(PM10),52,54,156,26,122,44,44,,,12,16,6,7,0.4,0.8
2025-12-31T0700,3122A,105.9606,26.2611,安顺市,伍家关,,40,32,37,28,24,48,48,,,5,8,8,8,0.7,0.8
2025-12-31T0700,3123A,105.9408,26.2431,安顺市,凤凰山,,43,35,33,30,28,57,57,,,11,14,8,10,0.7,0.8
2025-12-31T0700,3124A,105.9439,26.2564,安顺市,金钟山,,40,33,30,28,28,56,56,,,8,11,11,10,0.8,0.8
2025-12-31T0700,3125A,105.8983,26.2481,安顺市,娄家坡,,39,31,33,27,27,65,65,,,6,11,10,11,0.8,0.9
2025-12-31T0700,1818A,114.4839,36.0621,安阳市,棉研所,,,,,,,,,,,,,,,,
2025-12-31T0700,1819A,114.3551,36.1017,安阳市,红庙街,,39,39,88,23,72,25,25,,,25,38,5,7,0.8,0.9
2025-12-31T0700,1820A,114.361,36.0681,安阳市,银杏小区,,38,38,93,18,76,28,28,,,24,34,6,7,0.6,0.8
2025-12-31T0700,3141A,114.3922,36.0878,安阳市,信访局,,36,36,92,25,75,30,30,,,28,38,7,8,0.8,0.9
2025-12-31T0700,3669A,114.4705,36.0637,安阳市,左辅环卫站,颗粒物(PM10),51,52,110,16,54,29,29,,,25,31,5,8,0.8,0.9
