timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-01-17T0800,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,25,18,25,17,17,31,,35,35,14,15,4,4,0.5,0.6
2026-01-17T0800,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,32,,19,22,15,38,,39,39,9,13,5,5,0.4,0.5
2026-01-17T0800,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),104,158,166,51,82,56,,20,20,21,51,8,6,1.1,1.9
2026-01-17T0800,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),102,153,157,57,88,69,,28,28,14,53,5,6,0.7,1.3
2026-01-17T0800,2205A,105.699,38.8409,阿拉善盟,蒙二幼,颗粒物(PM10),65,80,58,17,18,74,,77,77,9,14,12,12,0.5,0.6
2026-01-17T0800,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,颗粒物(PM10),55,59,54,34,25,75,,79,79,6,9,12,11,0.6,0.6
2026-01-17T0800,2708A,88.1266,47.8515,阿勒泰地区,市站,,19,16,19,9,14,59,,59,59,12,25,2,4,0.6,0.5
2026-01-17T0800,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,24,24,28,15,19,58,,54,54,11,23,4,5,0.4,0.6
2026-01-17T0800,2630A,80.1171,32.4999,阿里地区,阿里监测站,,14,6,3,3,3,35,,59,59,27,7,5,6,0.6,0.5
2026-01-17T0800,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,29,6,14,3,7,90,,90,90,1,6,9,12,0.4,0.5
2026-01-17T0800,2644A,109.0088,32.6974,安康市,汉滨区检察院,细颗粒物(PM2.5),59,55,77,42,50,7,,14,14,20,27,4,5,0.6,0.8
2026-01-17T0800,4054A,109.0324,32.6913,安康市,市邮政管理局,细颗粒物(PM2.5),68,69,96,49,62,4,,6,6,24,39,8,7,0.7,1.3
2026-01-17T0800,2291A,117.0806,30.5181,安庆市,环科院,细颗粒物(PM2.5),229,249,130,179,97,35,,49,49,24,36,6,10,1.1,0.8
2026-01-17T0800,2292A,117.0331,30.5118,安庆市,马山宾馆,细颗粒物(PM2.5),223,233,125,173,94,34,,53,53,28,38,5,10,1.3,1
2026-01-17T0800,2294A,116.9897,30.6146,安庆市,安庆大学,细颗粒物(PM2.5),220,230,125,170,91,35,,51,51,26,33,4,8,1.1,0.8
2026-01-17T0800,3173A,117.0598,30.5351,安庆市,市人大,细颗粒物(PM2.5),228,245,135,178,99,30,,48,48,31,46,6,11,1.0,0.8
2026-01-17T0800,3123A,105.9408,26.2431,安顺市,凤凰山,细颗粒物(PM2.5),150,126,97,115,88,8,,44,44,53,27,70,29,1.2,0.8
