timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2024-07-23T0000,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,22,22,17,13,8,13,,42,25,5,8,5,5,0,0
2024-07-23T0000,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,30,,14,21,13,5,,45,19,15,15,4,4,0.4,0.4
2024-07-23T0000,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,20,20,16,11,10,6,,48,24,7,8,6,6,0.4,0.4
2024-07-23T0000,2695A,80.292,41.1694,阿克苏地区,电视台,,,,50,,14,,,149,139,,15,,4,,0.3
2024-07-23T0000,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),60,69,39,20,17,24,,139,117,71,14,4,4,0.9,0.5
2024-07-23T0000,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,颗粒物(PM10),180,310,89,57,24,116,,136,121,12,13,8,8,0.5,0.5
2024-07-23T0000,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,颗粒物(PM10),216,361,85,66,29,112,,128,115,9,9,10,10,0.7,0.6
2024-07-23T0000,2206A,105.724,38.8516,阿拉善盟,环保局新楼,颗粒物(PM10),151,252,79,64,27,116,,130,121,10,7,11,11,0.5,0.5
2024-07-23T0000,2708A,88.1264,47.8517,阿勒泰地区,市站,,28,,15,16,6,87,,104,99,12,11,6,7,0.5,0.4
2024-07-23T0000,2630A,80.1161,32.5,阿里地区,阿里监测站,,34,8,8,3,5,106,,129,121,11,5,7,7,0.4,0.3
2024-07-23T0000,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,36,12,11,3,6,115,,131,122,3,4,8,8,0.3,0.3
2024-07-23T0000,2642A,109.0318,32.6537,安康市,香溪洞,,33,33,23,14,13,36,,78,63,7,4,6,5,0.7,0.6
2024-07-23T0000,2643A,109.0281,32.6939,安康市,安康市监测站,,26,26,27,14,11,22,,77,48,9,6,5,5,0.5,0.5
2024-07-23T0000,2644A,109.0072,32.6975,安康市,汉滨区检察院,,26,26,25,15,12,19,,79,49,7,6,6,7,0.4,0.4
2024-07-23T0000,2291A,117.0809,30.5177,安庆市,环科院,,22,19,24,15,15,32,,116,54,36,28,5,6,0.5,0.5
2024-07-23T0000,2292A,117.0331,30.5119,安庆市,马山宾馆,,24,24,23,16,15,41,,116,56,25,26,7,9,0.5,0.4
2024-07-23T0000,2294A,116.9896,30.6145,安庆市,安庆大学,,23,,24,16,16,31,,117,59,23,16,8,8,0.3,0.3
2024-07-23T0000,3173A,117.0598,30.5351,安庆市,市人大,,22,18,22,15,14,52,,120,66,19,16,6,9,0.3,0.3
2024-07-23T0000,3122A,105.9606,26.2611,安顺市,伍家关,,,,,,,,,,,,,,,,
2024-07-23T0000,3123A,105.9408,26.2431,安顺市,凤凰山,,18,11,11,9,8,56,,65,60,9,9,6,5,0.3,0.3
2024-07-23T0000,3124A,105.9439,26.2564,安顺市,金钟山,,19,12,12,12,9,59,,69,65,4,3,4,5,0.4,0.4
2024-07-23T0000,3125A,105.8983,26.2481,安顺市,娄家坡,,18,9,13,3,7,55,,67,62,4,3,6,6,0.5,0.5
2024-07-23T0000,1818A,114.4839,36.0621,安阳市,棉研所,,,,,,,,,,,,,,,,
2024-07-23T0000,1819A,114.3551,36.1017,安阳市,红庙街,,17,17,40,6,20,53,,118,63,4,6,1,2,0.3,0.4
2024-07-23T0000,1820A,114.361,36.0681,安阳市,银杏小区,,16,14,41,7,14,51,,103,53,1,2,1,1,0.5,0.7
2024-07-23T0000,3141A,114.3922,36.0878,安阳市,信访局,,18,15,39,7,19,56,,109,61,1,3,1,2,0.8,0.9
2024-07-23T0000,3669A,114.4705,36.0637,安阳市,左辅环卫站,,19,,23,9,22,58,,138,63,3,8,5,4,0.7,0.9
2024-07-23T0000,3703A,114.2917,36.0949,安阳市,安钢职工学校,,38,,46,26,24,49,,127,65,3,5,1,1,0.5,0.5
2024-07-23T0000,1748A,123.044,41.1196,鞍山市,深沟寺,,35,32,19,24,8,41,,86,41,13,7,5,4,0.7,0.4
2024-07-23T0000,1749A,123.011,41.0931,鞍山市,太阳城,,41,41,16,20,8,45,,89,45,12,7,5,5,0.9,0.6
2024-07-23T0000,1750A,123.0485,41.1442,鞍山市,太平,,37,37,15,21,9,50,,84,53,15,10,5,3,0.9,0.7
2024-07-23T0000,1751A,122.9642,41.0971,鞍山市,铁西三道街,,36,36,19,20,12,49,,85,50,12,10,3,3,1.1,0.8
