timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-07-03T0200,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,11,6,24,3,8,33,,,,11,15,11,12,0.5,0.6
2025-07-03T0200,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,40,,18,28,20,17,,,,12,11,6,6,0.6,0.6
2025-07-03T0200,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,16,,14,11,13,23,,,,7,6,6,6,0.6,0.6
2025-07-03T0200,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),59,68,55,27,22,80,,,,20,13,10,7,0.5,0.5
2025-07-03T0200,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),67,84,62,36,31,77,,,,30,9,8,7,0.5,0.4
2025-07-03T0200,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,43,14,17,10,13,135,,,,9,12,6,7,0.6,0.7
2025-07-03T0200,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,,40,6,22,3,8,125,,,,6,10,7,8,0.4,0.5
2025-07-03T0200,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,,10,15,3,8,137,,,,,7,9,9,0.4,0.5
2025-07-03T0200,2708A,88.1264,47.8517,阿勒泰地区,市站,,34,12,14,3,5,107,,,,3,11,1,1,0.3,0.4
2025-07-03T0200,2630A,80.1161,32.5,阿里地区,阿里监测站,,27,8,6,3,3,86,,,,6,5,3,3,0.3,0.3
2025-07-03T0200,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,28,11,12,3,3,89,,,,1,2,4,4,0.4,0.4
2025-07-03T0200,2642A,109.0318,32.6537,安康市,香溪洞,,25,25,20,11,8,21,,,,11,6,9,7,0.2,0.2
2025-07-03T0200,2644A,109.0072,32.6975,安康市,汉滨区检察院,,19,19,23,8,11,10,,,,9,7,6,6,0.4,0.4
2025-07-03T0200,4054A,109.0325,32.6913,安康市,市邮政管理局,,15,,21,10,10,0,,,,9,7,4,11,0.5,0.5
2025-07-03T0200,2291A,117.0809,30.5177,安庆市,环科院,,25,25,25,16,14,9,,,,37,22,3,3,0.6,0.5
2025-07-03T0200,2292A,117.0331,30.5119,安庆市,马山宾馆,,25,25,24,15,18,23,,,,19,22,3,4,0.5,0.5
2025-07-03T0200,2294A,116.9896,30.6145,安庆市,安庆大学,,36,32,29,25,20,18,,,,31,19,2,3,0.5,0.4
2025-07-03T0200,3173A,117.0598,30.5351,安庆市,市人大,,28,,24,19,16,42,,,,10,16,2,3,0.5,0.5
2025-07-03T0200,3122A,105.9606,26.2611,安顺市,伍家关,,,,,,7,42,,,,1,2,3,4,0.3,0.3
2025-07-03T0200,3123A,105.9408,26.2431,安顺市,凤凰山,,14,10,11,3,7,42,,,,3,4,2,3,0.4,0.4
