timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-12-08T1200,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,,,,,,,,,,,,,,,
2025-12-08T1200,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,18,,19,12,13,42,42,25,25,9,16,5,5,0.5,0.5
2025-12-08T1200,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,15,6,16,6,9,47,47,36,36,10,13,5,6,0.5,0.6
2025-12-08T1200,2695A,80.292,41.1694,阿克苏地区,电视台,细颗粒物(PM2.5),183,263,202,138,113,7,7,23,23,77,59,12,10,3.4,2.3
2025-12-08T1200,2696A,80.2613,41.1551,阿克苏地区,艺术中心,细颗粒物(PM2.5),125,165,162,95,97,16,16,32,32,52,56,7,9,1.2,1.3
2025-12-08T1200,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,,,,,,,,,,,,,,,
2025-12-08T1200,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,,39,39,20,11,9,87,87,82,80,8,12,11,10,0.4,0.5
2025-12-08T1200,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,33,33,13,15,8,84,84,84,82,6,5,10,9,0.6,0.5
2025-12-08T1200,2708A,88.1264,47.8517,阿勒泰地区,市站,,23,19,16,12,8,25,25,50,36,46,30,4,6,0.5,0.4
2025-12-08T1200,2630A,80.1161,32.5,阿里地区,阿里监测站,,23,6,3,3,3,71,71,70,68,7,8,6,9,0.5,0.4
2025-12-08T1200,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,40,40,14,24,6,48,48,88,72,32,6,14,8,0.9,0.4
2025-12-08T1200,2642A,109.0318,32.6537,安康市,香溪洞,,,,,,,,,,,,,,,,
2025-12-08T1200,2644A,109.0072,32.6975,安康市,汉滨区检察院,,47,47,54,32,35,40,40,17,17,18,25,4,4,1.0,0.9
2025-12-08T1200,4054A,109.0325,32.6913,安康市,市邮政管理局,颗粒物(PM10),57,63,61,34,40,36,36,16,16,18,29,4,4,0.7,0.8
2025-12-08T1200,2291A,117.0809,30.5177,安庆市,环科院,细颗粒物(PM2.5),172,156,97,130,71,96,96,76,61,22,33,10,10,0.9,0.9
2025-12-08T1200,2292A,117.0331,30.5119,安庆市,马山宾馆,细颗粒物(PM2.5),165,166,101,125,73,100,100,73,64,26,41,10,9,1.0,1
2025-12-08T1200,2294A,116.9896,30.6145,安庆市,安庆大学,细颗粒物(PM2.5),169,163,98,128,71,90,90,81,60,22,29,11,9,1.0,0.8
2025-12-08T1200,3173A,117.0598,30.5351,安庆市,市人大,细颗粒物(PM2.5),168,162,106,127,77,103,103,69,62,25,45,10,10,0.8,0.8
2025-12-08T1200,3122A,105.9606,26.2611,安顺市,伍家关,,,,53,34,32,78,78,35,35,8,21,11,63,0.8,1
2025-12-08T1200,3123A,105.9408,26.2431,安顺市,凤凰山,,48,47,49,33,46,86,86,29,29,14,30,12,60,0.6,0.8
2025-12-08T1200,3124A,105.9439,26.2564,安顺市,金钟山,,48,43,40,33,39,87,87,50,50,11,16,14,50,0.7,0.7
2025-12-08T1200,3125A,105.8983,26.2481,安顺市,娄家坡,细颗粒物(PM2.5),54,43,48,38,40,82,82,44,44,14,20,18,39,0.6,0.7
2025-12-08T1200,1818A,114.4839,36.0621,安阳市,棉研所,,,,,,,,,,,,,,,,
2025-12-08T1200,1819A,114.3551,36.1017,安阳市,红庙街,,35,35,90,12,30,53,53,37,37,17,36,4,6,0.2,0.4
2025-12-08T1200,1820A,114.361,36.0681,安阳市,银杏小区,,46,46,89,15,34,52,52,38,38,14,32,2,4,0.1,0.3
2025-12-08T1200,3141A,114.3922,36.0878,安阳市,信访局,,49,49,93,21,39,58,58,41,41,13,34,4,6,0.2,0.4
2025-12-08T1200,3669A,114.4705,36.0637,安阳市,左辅环卫站,颗粒物(PM10),55,60,107,17,38,58,58,43,43,12,27,3,4,0.3,0.4
2025-12-08T1200,3703A,114.2917,36.0949,安阳市,安钢职工学校,,,63,104,19,39,48,48,29,29,16,39,,8,0.6,0.8
