timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-08-29T0100,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,18,11,18,7,7,57,,,,5,6,3,2,0.0,0.1
2025-08-29T0100,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,20,17,18,14,14,42,,,,6,7,8,8,0.5,0.5
2025-08-29T0100,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,20,,14,14,14,49,,,,4,4,9,9,0.6,0.6
2025-08-29T0100,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),133,215,107,68,35,1,,,,55,16,6,4,2.0,0.8
2025-08-29T0100,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),120,190,94,81,40,4,,,,61,26,5,4,1.2,0.3
2025-08-29T0100,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,32,30,26,16,13,100,,,,9,10,8,8,0.5,0.4
2025-08-29T0100,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,,32,32,28,13,10,96,,,,4,6,10,9,0.5,0.5
2025-08-29T0100,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,32,28,24,13,10,102,,,,5,5,11,10,0.4,0.4
2025-08-29T0100,2708A,88.1264,47.8517,阿勒泰地区,市站,,40,40,33,3,6,23,,,,35,14,2,3,0.3,0.4
2025-08-29T0100,2630A,80.1161,32.5,阿里地区,阿里监测站,,30,6,7,3,3,96,,,,7,8,7,7,0.1,0.1
2025-08-29T0100,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,36,6,9,3,3,114,,,,1,3,6,6,0.3,0.3
2025-08-29T0100,2642A,109.0318,32.6537,安康市,香溪洞,,19,,15,3,6,60,,,,4,6,7,7,0.4,0.4
2025-08-29T0100,2644A,109.0072,32.6975,安康市,汉滨区检察院,,15,11,18,6,8,48,,,,7,7,5,6,0.5,0.5
2025-08-29T0100,4054A,109.0325,32.6913,安康市,市邮政管理局,,17,11,16,8,9,53,,,,5,7,5,5,0.5,0.5
2025-08-29T0100,2291A,117.0809,30.5177,安庆市,环科院,,39,39,28,26,18,54,,,,27,16,10,9,0.9,0.7
2025-08-29T0100,2292A,117.0331,30.5119,安庆市,马山宾馆,,35,31,24,24,16,53,,,,33,20,14,9,0.7,0.5
