timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-02-13T0000,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,21,14,28,8,11,67,,76,64,3,6,8,8,1.4,1.2
2025-02-13T0000,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,26,19,23,10,18,81,,82,75,3,7,6,6,0.5,0.5
2025-02-13T0000,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,22,18,22,8,12,70,,78,69,5,6,6,6,0.6,0.5
2025-02-13T0000,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),438,538,393,119,65,28,,81,70,57,27,20,9,0.7,0.7
2025-02-13T0000,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),500,623,449,123,92,32,,76,64,46,38,15,10,0.9,1.6
2025-02-13T0000,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,,40,40,40,21,20,92,,93,88,6,8,12,10,0.5,0.6
2025-02-13T0000,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,颗粒物(PM10),88,125,48,38,16,63,,87,72,18,10,11,7,0.8,0.8
2025-02-13T0000,2206A,105.724,38.8516,阿拉善盟,环保局新楼,,27,8,23,3,8,85,,88,,3,3,6,6,0.6,0.6
2025-02-13T0000,2708A,88.1264,47.8517,阿勒泰地区,市站,颗粒物(PM10),90,129,28,28,17,46,,62,48,20,19,4,8,0.8,0.5
2025-02-13T0000,2630A,80.1161,32.5,阿里地区,阿里监测站,,23,16,14,3,7,73,,109,89,1,2,6,7,0.4,0.5
2025-02-13T0000,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,30,19,17,3,6,93,,112,104,2,3,4,6,0.4,0.5
2025-02-13T0000,2642A,109.0318,32.6537,安康市,香溪洞,颗粒物(PM10),72,93,67,37,32,61,,92,82,12,10,11,10,0.6,0.5
2025-02-13T0000,2644A,109.0072,32.6975,安康市,汉滨区检察院,颗粒物(PM10),63,76,72,38,37,48,,91,68,13,18,5,6,0.5,0.6
2025-02-13T0000,4054A,109.0325,32.6913,安康市,市邮政管理局,颗粒物(PM10),69,88,84,43,44,46,,92,60,18,22,6,7,0.4,0.6
2025-02-13T0000,2291A,117.0809,30.5177,安庆市,环科院,细颗粒物(PM2.5),125,132,95,95,75,88,,85,85,16,23,7,7,0.8,0.8
2025-02-13T0000,2292A,117.0331,30.5119,安庆市,马山宾馆,细颗粒物(PM2.5),120,118,86,91,74,84,,81,81,21,22,8,8,0.9,0.9
2025-02-13T0000,2294A,116.9896,30.6145,安庆市,安庆大学,细颗粒物(PM2.5),130,132,93,99,72,92,,98,98,14,13,8,8,0.9,0.8
2025-02-13T0000,3173A,117.0598,30.5351,安庆市,市人大,细颗粒物(PM2.5),123,130,94,93,76,87,,82,82,17,24,7,7,0.8,0.7
2025-02-13T0000,3122A,105.9606,26.2611,安顺市,伍家关,细颗粒物(PM2.5),53,42,28,37,26,69,,84,74,11,10,6,9,0.4,0.4
2025-02-13T0000,3123A,105.9408,26.2431,安顺市,凤凰山,细颗粒物(PM2.5),70,52,33,51,31,56,,71,62,15,13,15,16,0.6,0.6
2025-02-13T0000,3124A,105.9439,26.2564,安顺市,金钟山,细颗粒物(PM2.5),64,47,30,46,31,60,,72,64,10,9,11,15,0.9,0.9
2025-02-13T0000,3125A,105.8983,26.2481,安顺市,娄家坡,细颗粒物(PM2.5),54,42,30,38,27,58,,73,65,12,11,16,19,0.6,0.7
2025-02-13T0000,1818A,114.4839,36.0621,安阳市,棉研所,细颗粒物(PM2.5),113,151,112,85,42,14,,74,46,51,22,17,17,0.6,0.4
2025-02-13T0000,1819A,114.3551,36.1017,安阳市,红庙街,细颗粒物(PM2.5),143,220,144,109,90,28,,75,40,33,31,12,15,0.7,1.6
2025-02-13T0000,1820A,114.361,36.0681,安阳市,银杏小区,颗粒物(PM10),87,124,121,58,78,46,,79,51,26,35,11,12,0.5,1.6
2025-02-13T0000,3141A,114.3922,36.0878,安阳市,信访局,颗粒物(PM10),87,123,120,44,74,61,,80,64,10,26,9,12,0.5,1.4
2025-02-13T0000,3669A,114.4705,36.0637,安阳市,左辅环卫站,细颗粒物(PM2.5),160,187,142,122,86,11,,78,54,62,32,16,12,0.6,1.2
2025-02-13T0000,3703A,114.2917,36.0949,安阳市,安钢职工学校,细颗粒物(PM2.5),170,246,150,129,90,10,,78,42,48,35,12,16,1.0,1.7
2025-02-13T0000,1748A,123.044,41.1196,鞍山市,深沟寺,细颗粒物(PM2.5),104,101,48,78,35,18,,68,32,51,22,18,15,1.4,0.7
2025-02-13T0000,1749A,123.011,41.0931,鞍山市,太阳城,细颗粒物(PM2.5),138,121,55,105,41,28,,73,40,35,20,10,12,1.1,0.8
2025-02-13T0000,1750A,123.0485,41.1442,鞍山市,太平,细颗粒物(PM2.5),150,158,64,115,44,11,,72,29,59,27,18,14,1.5,0.7
2025-02-13T0000,1751A,122.9642,41.0971,鞍山市,铁西三道街,细颗粒物(PM2.5),149,133,60,114,51,21,,79,38,49,30,42,21,1.0,1.1
2025-02-13T0000,1753A,123.022,41.0821,鞍山市,明达新区,细颗粒物(PM2.5),148,129,60,113,57,34,,73,46,34,21,12,14,1.1,0.6
2025-02-13T0000,1754A,123.1289,41.0228,鞍山市,千山,,,,35,,13,,,67,,,15,,6,,0.4
2025-02-13T0000,4201A,122.9446,41.0826,鞍山市,兴盛南路290号,细颗粒物(PM2.5),120,104,50,91,35,26,,72,42,46,28,13,15,1.3,0.7
2025-02-13T0000,2195A,107.4212,40.761,巴彦淖尔市,附二中,颗粒物(PM10),67,83,97,24,27,69,,71,67,5,6,3,6,0.3,0.3
2025-02-13T0000,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,颗粒物(PM10),52,54,85,17,25,77,,82,77,3,3,3,3,0.3,0.3
2025-02-13T0000,1956A,86.1472,41.7538,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),208,355,532,67,51,37,,76,61,27,20,10,6,0.6,0.4
2025-02-13T0000,1957A,86.1972,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),420,520,691,48,47,46,,75,64,23,33,4,4,0.5,0.5
2025-02-13T0000,1958A,86.2357,41.7173,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),197,344,546,68,43,49,,76,62,24,14,11,4,0.4,0.4
2025-02-13T0000,2914A,106.7677,31.8794,巴中市,苏山坪,颗粒物(PM10),68,85,49,39,20,41,,81,59,26,11,5,4,0.4,0.3
2025-02-13T0000,3181A,106.7768,31.8526,巴中市,市五中,颗粒物(PM10),68,86,55,44,24,18,,78,49,27,15,5,5,0.6,0.5
2025-02-13T0000,3183A,106.7418,31.8654,巴中市,圣泉水务公司,颗粒物(PM10),67,83,55,42,23,5,,83,48,47,15,4,4,0.5,0.4
2025-02-13T0000,3616A,106.7616,31.8344,巴中市,市中心医院,颗粒物(PM10),73,95,57,49,33,22,,84,52,30,13,4,5,0.7,0.6
2025-02-13T0000,2235A,122.7911,45.6077,白城市,洮北区环保局,,30,30,44,17,31,69,,73,65,4,9,4,7,0.5,0.5
2025-02-13T0000,2236A,122.8738,45.5725,白城市,市环保局,,25,17,29,17,20,65,,74,65,9,11,10,10,0.3,0.3
2025-02-13T0000,2231A,126.4219,41.9171,白山市,喜丰,细颗粒物(PM2.5),82,96,64,60,42,55,,73,55,18,17,15,16,0.6,0.7
2025-02-13T0000,2232A,126.4077,41.9419,白山市,环保局,细颗粒物(PM2.5),206,208,112,156,81,36,,77,44,22,15,17,18,1.2,1
2025-02-13T0000,2647A,104.1724,36.5446,白银市,第三小学,颗粒物(PM10),212,358,152,125,42,16,,82,53,45,15,40,19,1.2,0.8
2025-02-13T0000,2648A,104.1465,36.5482,白银市,动力公司,颗粒物(PM10),110,169,149,76,37,21,,86,56,35,16,8,10,0.6,0.4
2025-02-13T0000,2512A,106.6103,23.9011,百色市,市监测站,,18,18,70,8,56,35,,43,38,14,17,6,8,0.8,1.1
2025-02-13T0000,2513A,106.6538,23.8859,百色市,市中心血站,,16,16,78,10,70,30,,40,37,20,27,7,9,0.9,1.1
2025-02-13T0000,3406A,106.6085,23.8798,百色市,祈福高中,,20,20,72,6,54,40,,41,39,10,21,5,5,0.8,1
2025-02-13T0000,2270A,117.396,32.939,蚌埠市,工人疗养院,细颗粒物(PM2.5),74,92,117,54,86,58,,92,77,28,26,6,5,0.7,0.8
2025-02-13T0000,2271A,117.3605,32.9427,蚌埠市,百货大楼,细颗粒物(PM2.5),77,96,114,56,83,55,,92,74,20,19,7,6,0.7,0.8
2025-02-13T0000,2273A,117.4185,32.8911,蚌埠市,蚌埠学院,细颗粒物(PM2.5),84,92,103,62,84,65,,92,79,20,21,7,5,0.6,0.7
2025-02-13T0000,2274A,117.3533,32.9673,蚌埠市,淮上区政府,细颗粒物(PM2.5),90,105,121,67,93,54,,92,71,26,24,10,9,0.6,0.8
2025-02-13T0000,2275A,117.3145,32.8977,蚌埠市,高新区,细颗粒物(PM2.5),104,119,112,78,89,33,,89,62,49,28,14,8,0.6,0.8
2025-02-13T0000,3715A,117.3092,32.9314,蚌埠市,蚌埠田家炳中学,颗粒物(PM10),81,111,121,59,89,44,,90,61,40,29,9,6,0.6,0.7
2025-02-13T0000,1585A,109.8756,40.6532,包头市,市环境监测站,颗粒物(PM10),90,130,115,57,36,42,,72,56,36,27,28,23,1.8,1.3
2025-02-13T0000,1587A,109.9991,40.5842,包头市,包头八中,颗粒物(PM10),109,168,135,44,47,55,,72,56,16,24,8,19,0.3,0.5
2025-02-13T0000,1588A,109.8538,40.6821,包头市,青山宾馆,细颗粒物(PM2.5),134,198,111,102,42,22,,71,43,49,24,18,14,0.8,0.7
2025-02-13T0000,1589A,109.8642,40.6288,包头市,惠龙物流,颗粒物(PM10),81,112,117,45,35,62,,75,62,20,28,34,25,0.5,0.9
2025-02-13T0000,1590A,110.0377,40.5546,包头市,东河鸿龙湾,颗粒物(PM10),81,112,102,25,20,50,,81,67,22,17,10,11,0.7,0.7
2025-02-13T0000,3283A,109.9154,40.5685,包头市,滨河大厦,细颗粒物(PM2.5),72,55,93,52,34,61,,77,68,9,10,6,11,0.4,0.5
2025-02-13T0000,3419A,109.9447,40.6261,包头市,包头市委党校,颗粒物(PM10),78,105,103,39,29,55,,75,64,18,24,19,17,0.7,0.9
2025-02-13T0000,3683A,109.8331,40.6576,包头市,昆区政府,细颗粒物(PM2.5),152,157,124,116,44,24,,66,42,51,32,38,32,1.4,1.3
2025-02-13T0000,1930A,107.185,34.3063,宝鸡市,庙沟村,颗粒物(PM10),75,100,96,46,26,55,,90,75,26,9,10,7,0.6,0.5
2025-02-13T0000,1931A,107.0708,34.3017,宝鸡市,竹园沟,颗粒物(PM10),60,69,110,36,32,47,,91,63,15,11,6,8,0.3,0.3
2025-02-13T0000,1932A,107.1906,34.3672,宝鸡市,三陆医院,细颗粒物(PM2.5),237,260,144,187,60,25,,89,43,38,25,11,10,0.8,0.5
2025-02-13T0000,1933A,107.1431,34.3547,宝鸡市,监测站,细颗粒物(PM2.5),144,176,148,110,53,24,,86,46,34,17,11,11,0.6,0.4
2025-02-13T0000,1934A,107.1186,34.3739,宝鸡市,技工学校,细颗粒物(PM2.5),211,206,148,161,67,30,,83,50,28,19,12,9,0.7,0.5
2025-02-13T0000,1935A,107.3906,34.3528,宝鸡市,陈仓区环保局家属楼,细颗粒物(PM2.5),346,373,172,296,102,10,,92,43,58,24,18,12,1.2,0.6
2025-02-13T0000,1936A,107.2058,34.3497,宝鸡市,文理学院,细颗粒物(PM2.5),252,299,158,202,72,25,,89,44,43,21,16,11,0.6,0.4
2025-02-13T0000,1937A,107.2386,34.3622,宝鸡市,三迪小学,细颗粒物(PM2.5),284,358,158,234,65,16,,85,32,53,23,22,13,0.7,0.4
2025-02-13T0000,1051A,115.493,38.8632,保定市,游泳馆,细颗粒物(PM2.5),169,166,75,128,57,33,,82,48,46,34,20,9,,0.3
2025-02-13T0000,1052A,115.5213,38.8959,保定市,华电二区,细颗粒物(PM2.5),183,147,73,138,64,40,,83,51,27,25,18,11,0.4,0.3
2025-02-13T0000,1053A,115.4713,38.9108,保定市,接待中心,细颗粒物(PM2.5),142,147,81,108,49,47,,77,58,24,25,15,7,0.4,0.6
2025-02-13T0000,1054A,115.4612,38.8416,保定市,地表水厂,细颗粒物(PM2.5),145,157,111,111,61,36,,84,50,39,32,13,7,0.6,0.6
2025-02-13T0000,3581A,115.31981,38.95208,保定市,满城区生态环境分局,细颗粒物(PM2.5),94,127,72,70,62,56,,89,70,26,26,15,10,0.7,0.6
2025-02-13T0000,3582A,115.47694,38.76408,保定市,清苑区第二中学,颗粒物(PM10),81,112,89,59,48,41,,82,52,32,33,13,9,0.5,0.6
2025-02-13T0000,3583A,115.62909,39.02311,保定市,徐水物探局,细颗粒物(PM2.5),85,108,69,63,46,76,,102,78,16,24,9,8,0.3,0.4
2025-02-13T0000,4004A,115.4202,38.8656,保定市,双鹰农机,细颗粒物(PM2.5),180,186,84,136,52,41,,87,54,24,23,17,9,0.6,0.6
2025-02-13T0000,4034A,115.5150,38.8590,保定市,植保所站,细颗粒物(PM2.5),215,188,86,165,68,24,,78,44,32,23,20,10,0.5,0.4
2025-02-13T0000,2594A,99.1678,25.1081,保山市,市环境监测站,,39,30,36,27,22,94,,108,102,5,9,6,6,0.1,0.2
2025-02-13T0000,2595A,99.1711,25.1328,保山市,市环保局,,46,32,39,32,24,96,,112,107,3,6,7,7,0.3,0.4
