timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-09-22T1200,1001A,116.3611,39.8786,北京市,万寿西宫,,44,41,53,28,28,138,NA,61,61,17,20,3,3,0.4,0.4
2026-09-22T1200,1003A,116.4174,39.9289,北京市,东四,颗粒物(PM10),54,55,52,25,28,156,NA,68,68,11,22,3,4,0.6,0.4
2026-09-22T1200,1004A,116.4073,39.8858,北京市,天坛,颗粒物(PM10),58,60,48,24,26,145,NA,57,57,24,23,3,2,0.7,0.6
2026-09-22T1200,1005A,116.4622,39.9364,北京市,农展馆,颗粒物(PM10),63,68,53,37,28,136,NA,45,45,22,27,3,3,0.5,0.5
2026-09-22T1200,1006A,116.3399,39.9293,北京市,官园,颗粒物(PM10),58,60,52,24,25,142,NA,66,66,17,27,4,4,0.5,0.5
2026-09-22T1200,1007A,116.2879,39.9613,北京市,海淀万柳,颗粒物(PM10),70,77,57,34,25,138,NA,51,51,19,36,3,3,0.5,0.4
2026-09-22T1200,1008A,116.6635,40.1349,北京市,顺义新城,细颗粒物(PM2.5),98,82,44,59,22,128,NA,58,58,29,27,5,4,0.7,0.5
2026-09-22T1200,1009A,116.6275,40.327,北京市,怀柔镇,细颗粒物(PM2.5),84,83,27,52,16,138,NA,72,72,13,11,3,2,0.7,0.4
2026-09-22T1200,1010A,116.2295,40.217,北京市,昌平镇,颗粒物(PM10),58,61,45,34,24,140,NA,81,81,13,17,3,3,0.5,0.4
2026-09-22T1200,1011A,116.3968,39.982,北京市,奥体中心,颗粒物(PM10),60,63,47,37,27,134,NA,57,57,16,24,6,6,0.6,0.5
2026-09-22T1200,1015A,117.1446,39.1659,天津市,勤俭道,,49,39,60,24,32,155,NA,85,85,9,20,7,7,0.6,0.7
2026-09-22T1200,1018A,117.2016,39.0928,天津市,前进道,,50,34,57,20,30,157,NA,87,87,11,20,8,8,0.5,0.6
2026-09-22T1200,1019A,117.1837,39.2134,天津市,淮河道,,49,35,66,20,31,155,NA,85,85,7,24,8,9,0.5,1
2026-09-22T1200,1021A,117.308261,39.088386,天津市,跃进路,,49,30,64,15,30,156,NA,88,88,8,22,6,7,0.5,0.6
2026-09-22T1200,1023A,117.707,39.0344,天津市,第四大街,,48,22,56,10,25,151,NA,90,90,8,28,6,8,0.8,1.1
2026-09-22T1200,1024A,117.4573,38.8395,天津市,永明路,,49,25,44,11,24,155,NA,84,84,3,20,6,7,0.6,0.7
2026-09-22T1200,1026A,117.7641,39.1588,天津市,汉北路,,47,46,59,23,25,149,NA,68,68,27,33,8,6,1.3,0.9
2026-09-22T1200,1030A,114.5919,38.0328,石家庄市,高新区,颗粒物(PM10),53,54,74,36,46,141,NA,67,67,8,14,1,3,0.5,0.7
2026-09-22T1200,1032A,114.4556,38.0136,石家庄市,西南高教,颗粒物(PM10),55,56,62,34,43,140,NA,40,NA,8,16,3,3,0.3,0.4
2026-09-22T1200,1033A,114.533,38.0177,石家庄市,世纪公园,NA,NA,NA,64,NA,50,124,NA,65,65,11,15,NA,3,0.7,0.7
2026-09-22T1200,1034A,114.5105,38.0489,石家庄市,人民会堂,细颗粒物(PM2.5),56,55,66,38,42,146,NA,75,75,16,16,3,3,0.4,0.4
2026-09-22T1200,1040A,118.1707,39.6505,唐山市,十二中,,48,38,47,22,29,152,NA,77,77,7,17,2,3,0.5,0.7
2026-09-22T1200,1041A,118.1868,39.6219,唐山市,小山,颗粒物(PM10),52,52,62,27,23,140,NA,83,83,6,16,6,6,0.5,0.7
2026-09-22T1200,1046A,119.5247,39.9346,秦皇岛市,建设大厦,,46,46,75,14,30,143,NA,70,70,9,37,7,8,0.5,0.8
2026-09-22T1200,1049A,114.492,36.5712,邯郸市,矿院,细颗粒物(PM2.5),58,48,57,39,54,118,NA,59,59,4,19,8,6,1.1,1.2
2026-09-22T1200,1050A,114.4839,36.6136,邯郸市,丛台公园,细颗粒物(PM2.5),96,NA,64,58,56,157,NA,67,67,6,14,13,17,0.7,0.9
