timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2022-05-07T01:00:00,1001A,116.3621,39.8784,北京市,万寿西宫,,39,39,55,16,16,86,28,28,28,20,13,3,3,0.4,0.3
2022-05-07T01:00:00,1002A,116.2202,40.2915,北京市,定陵(对照点),,,,51,17,14,92,21,21,21,11,18,3,2,0.3,0.2
2022-05-07T01:00:00,1003A,116.4174,39.9289,北京市,东四,,49,49,66,22,16,86,29,29,29,28,14,3,3,0.7,0.4
2022-05-07T01:00:00,1004A,116.4072,39.8863,北京市,天坛,,27,27,44,15,16,89,6,6,6,8,10,3,3,0.3,0.3
2022-05-07T01:00:00,1005A,116.462,39.9365,北京市,农展馆,,45,45,55,20,16,90,4,4,4,53,15,3,3,0.5,0.4
2022-05-07T01:00:00,1006A,116.3392,39.9295,北京市,官园,,45,45,52,21,17,78,26,26,26,29,14,4,3,0.3,0.2
2022-05-07T01:00:00,1007A,116.2878,39.9611,北京市,海淀万柳,,45,45,53,20,15,80,16,16,16,37,16,1,1,0.3,0.3
2022-05-07T01:00:00,1008A,116.6636,40.135,北京市,顺义新城,颗粒物(PM10),52,53,64,20,16,83,18,18,18,27,15,1,2,0.3,0.3
2022-05-07T01:00:00,1009A,116.6275,40.3275,北京市,怀柔镇,,42,42,51,18,17,95,22,22,22,29,12,3,3,0.3,0.3
2022-05-07T01:00:00,1010A,116.2296,40.217,北京市,昌平镇,,43,43,55,21,17,87,29,29,29,13,13,1,1,0.3,0.2
2022-05-07T01:00:00,1011A,116.3966,39.9821,北京市,奥体中心,,44,44,52,22,18,91,17,17,17,48,17,3,3,0.3,0.3
2022-05-07T01:00:00,1012A,116.184,39.9136,北京市,古城,颗粒物(PM10),56,61,60,28,16,107,28,28,28,20,17,3,3,0.3,0.3
2022-05-07T01:00:00,1015A,117.1444,39.1661,天津市,勤俭道,细颗粒物(PM2.5),54,55,80,38,40,92,24,24,24,38,26,6,7,0.7,0.7
2022-05-07T01:00:00,1017A,117.237,39.1082,天津市,大直沽八号路,颗粒物(PM10),54,58,45,30,18,76,20,20,20,50,28,12,10,0.4,0.5
2022-05-07T01:00:00,1018A,117.202,39.0927,天津市,前进道,颗粒物(PM10),68,85,77,27,25,88,30,30,30,39,25,10,8,0.6,0.7
2022-05-07T01:00:00,1019A,117.1837,39.2133,天津市,淮河道,颗粒物(PM10),52,54,78,32,32,90,10,10,10,50,32,8,8,0.6,0.6
2022-05-07T01:00:00,1021A,117.307,39.0877,天津市,跃进路,,45,45,50,24,22,105,15,15,15,49,29,6,7,0.5,0.6
2022-05-07T01:00:00,1023A,117.707,39.0343,天津市,第四大街,颗粒物(PM10),52,53,53,24,19,104,40,40,40,27,26,5,6,0.5,0.6
2022-05-07T01:00:00,1024A,117.457,38.8394,天津市,永明路,颗粒物(PM10),52,53,63,24,23,122,23,23,23,46,22,9,12,0.4,0.5
2022-05-07T01:00:00,1026A,117.764,39.1587,天津市,汉北路,,48,48,45,29,21,108,13,13,13,40,19,6,8,0.6,0.7
2022-05-07T01:00:00,1027A,117.157,38.9194,天津市,团泊洼(对照点),颗粒物(PM10),55,59,76,25,25,130,27,27,27,42,26,7,8,0.8,1
2022-05-07T01:00:00,1029A,114.4422,38.0444,石家庄市,职工医院,,42,42,125,17,33,87,54,54,54,24,23,7,8,0.4,0.5
2022-05-07T01:00:00,1030A,114.6063,38.0266,石家庄市,高新区,,44,44,132,24,40,83,41,41,41,33,24,5,7,0.3,0.3
2022-05-07T01:00:00,1031A,114.4898,38.1328,石家庄市,西北水源,,43,43,124,24,39,81,33,33,33,36,27,5,6,0.5,0.5
2022-05-07T01:00:00,1032A,114.4586,38.0058,石家庄市,西南高教,,45,32,118,31,42,91,59,59,59,20,20,3,4,0.5,0.6
2022-05-07T01:00:00,1033A,114.5331,38.0178,石家庄市,世纪公园,,43,43,112,25,38,86,51,51,51,19,13,2,3,0.5,0.5
2022-05-07T01:00:00,1034A,114.509,38.0457,石家庄市,人民会堂,,49,49,72,30,36,90,52,52,52,28,22,6,8,0.5,0.5
2022-05-07T01:00:00,1035A,114.3524,37.8911,石家庄市,封龙山(对照点),,46,46,181,30,45,123,67,67,67,14,13,8,9,0.6,0.6
2022-05-07T01:00:00,1037A,118.131,39.6363,唐山市,雷达站,,44,44,59,27,23,86,28,28,28,31,18,5,4,0.7,0.7
2022-05-07T01:00:00,1038A,118.1725,39.6334,唐山市,物资局,,36,36,46,25,31,81,43,43,43,22,21,6,8,0.6,0.8
2022-05-07T01:00:00,1040A,118.1705,39.6506,唐山市,十二中,,36,36,53,25,28,77,24,24,24,37,28,7,7,0.7,0.8
2022-05-07T01:00:00,1041A,118.1869,39.622,唐山市,小山,,40,40,46,27,30,81,37,37,37,26,23,5,6,0.6,0.7
2022-05-07T01:00:00,1042A,119.5134,39.8207,秦皇岛市,北戴河环保局,,32,31,24,22,13,128,29,29,29,20,13,7,7,0.6,0.3
2022-05-07T01:00:00,1043A,119.7493,40.0116,秦皇岛市,第一关,,,51,39,22,13,138,10,10,10,60,28,9,9,0.4,0.4
2022-05-07T01:00:00,1044A,119.5897,39.9499,秦皇岛市,监测站,,45,45,38,22,10,141,8,8,8,40,26,6,7,0.7,0.7
2022-05-07T01:00:00,1046A,119.5251,39.9041,秦皇岛市,建设大厦,颗粒物(PM10),51,51,40,14,17,144,2,2,2,40,20,9,4,0.6,0.5
2022-05-07T01:00:00,1048A,114.5302,36.6116,邯郸市,东污水处理厂,,39,39,67,27,34,125,34,34,34,19,19,5,10,0.5,0.6
2022-05-07T01:00:00,1049A,114.4918,36.5713,邯郸市,矿院,,46,46,101,28,37,130,34,34,34,20,9,5,6,0.6,0.7
2022-05-07T01:00:00,1050A,114.484,36.6133,邯郸市,丛台公园,,43,43,76,23,32,129,30,30,30,18,16,6,7,0.5,0.6
2022-05-07T01:00:00,1051A,115.493,38.8632,保定市,游泳馆,,41,41,94,19,25,86,41,41,41,36,21,7,11,0.6,0.5
2022-05-07T01:00:00,1053A,115.4713,38.9108,保定市,接待中心,颗粒物(PM10),57,63,163,16,37,86,14,14,14,57,31,7,6,0.6,0.6
2022-05-07T01:00:00,1054A,115.4612,38.8416,保定市,地表水厂,颗粒物(PM10),64,78,120,26,25,90,18,18,18,53,21,8,8,0.5,0.4
2022-05-07T01:00:00,1055A,115.4323,38.8697,保定市,胶片厂,颗粒物(PM10),65,80,143,19,34,90,13,13,13,53,22,7,8,0.5,0.5
2022-05-07T01:00:00,1056A,115.5086,38.8639,保定市,监测站,,49,45,199,34,47,86,23,23,23,48,23,8,9,0.4,0.3
2022-05-07T01:00:00,1057A,114.8883,40.8336,张家口市,人民公园,,28,18,24,3,4,110,88,88,88,4,4,3,3,0.2,0.3
2022-05-07T01:00:00,1059A,114.8687,40.8042,张家口市,五金库,,28,19,32,10,11,111,87,87,87,6,6,4,4,0.1,0.2
2022-05-07T01:00:00,1060A,114.8902,40.762,张家口市,世纪豪园,,27,17,34,5,12,107,84,84,84,8,9,2,2,0.2,0.2
2022-05-07T01:00:00,1061A,114.8916,40.8661,张家口市,北泵房(对照点),,,19,28,5,13,,,,,3,3,,,,
2022-05-07T01:00:00,1062A,117.9531,40.9081,承德市,铁路,,41,41,53,18,10,97,24,24,24,30,12,11,7,0.7,0.3
2022-05-07T01:00:00,1063A,117.9392,40.9763,承德市,中国银行,,48,48,47,12,14,100,11,11,11,43,11,6,5,0.7,0.2
2022-05-07T01:00:00,1064A,117.9503,40.928,承德市,开发区,,40,40,51,25,19,103,30,30,30,33,11,12,6,0.9,0.3
2022-05-07T01:00:00,1065A,117.8051,40.9655,承德市,文化中心,细颗粒物(PM2.5),72,56,47,52,15,101,29,29,29,29,10,10,5,0.9,0.3
2022-05-07T01:00:00,1066A,117.9268,41.0026,承德市,离宫(对照点),,46,46,34,25,12,96,7,7,7,45,12,4,4,0.5,0.3
2022-05-07T01:00:00,1067A,116.6708,39.5111,廊坊市,药材公司,,29,28,67,20,22,90,17,17,17,42,20,2,2,0.5,0.4
2022-05-07T01:00:00,1068A,116.7214,39.5589,廊坊市,开发区,,39,35,60,27,23,86,4,4,4,45,20,1,2,0.5,0.4
2022-05-07T01:00:00,1070A,116.7244,39.5269,廊坊市,北华航天学院,,35,35,90,18,30,86,7,7,7,48,22,5,6,0.5,0.3
2022-05-07T01:00:00,1071A,116.8842,38.2991,沧州市,沧县城建局,,41,41,76,15,18,108,54,54,54,30,27,13,11,0.4,0.4
2022-05-07T01:00:00,1072A,116.8584,38.3254,沧州市,电视转播站,,23,23,100,5,18,95,47,47,47,27,25,10,11,0.5,0.4
2022-05-07T01:00:00,1073A,116.8709,38.3228,沧州市,市环保局,,39,39,71,14,20,108,47,47,47,40,30,8,8,0.6,0.6
2022-05-07T01:00:00,1074A,115.6838,37.7541,衡水市,电机北厂,,36,36,106,14,20,105,28,28,28,39,21,12,14,0.3,0.3
